Year,Grade,Org_code,DistrictName,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2011,05,00610000,Chicopee,"Special Ed",113,102,9,1,1," "," ",114,105,9," "," "," "," ",114,105,8," ",1," "," ",98,100,99
2011,06,00610000,Chicopee,"All Students",573,564,6," ",2,1," ",572,564,6," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2011,06,00610000,Chicopee,"Low Income",403,396,4," ",2,1," ",402,396,4," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2011,06,00610000,Chicopee,Black,26,25,1," "," "," "," ",25,24,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00610000,Chicopee,Asian,11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00610000,Chicopee,Hispanic/Latino,168,165,1," ",2," "," ",168,167,1," "," "," "," "," "," "," "," "," "," "," ",99,100," "
2011,06,00610000,Chicopee,White,348,343,4," "," ",1," ",348,342,4," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2011,06,00610000,Chicopee,Multi-race,15,15," "," "," "," "," ",15,15," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00610000,Chicopee,"LEP/Formerly LEP",51,50," "," "," ",1," ",52,50," "," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2011,06,00610000,Chicopee,"Special Ed",117,111,6," "," "," "," ",115,109,6," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00610000,Chicopee,"All Students",575,562,7,3," ",3," ",577,566,7,1," ",3," "," "," "," "," "," "," "," ",99,100," "
2011,07,00610000,Chicopee,"Low Income",383,373,5,2," ",3," ",384,375,5,1," ",3," "," "," "," "," "," "," "," ",99,100," "
2011,07,00610000,Chicopee,Black,20,20," "," "," "," "," ",20,20," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00610000,Chicopee,Hispanic/Latino,178,176,1,1," "," "," ",180,179,1," "," "," "," "," "," "," "," "," "," "," ",99,100," "
2011,07,00610000,Chicopee,White,355,344,6,2," ",3," ",354,344,6,1," ",3," "," "," "," "," "," "," "," ",99,100," "
2011,07,00610000,Chicopee,Multi-race,15,15," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00610000,Chicopee,"LEP/Formerly LEP",36,33," "," "," ",3," ",36,33," "," "," ",3," "," "," "," "," "," "," "," ",100,100," "
2011,07,00610000,Chicopee,"Special Ed",103,94,7,2," "," "," ",104,96,7,1," "," "," "," "," "," "," "," "," "," ",98,99," "
2011,08,00610000,Chicopee,"All Students",556,546,4,1,2,3," ",557,548,4," ",1,4," ",556,546,4,1,1,4," ",99,100,100
2011,08,00610000,Chicopee,"Low Income",342,333,3,1,2,3," ",342,334,3," ",1,4," ",341,332,3,1,1,4," ",99,100,99
2011,08,00610000,Chicopee,Black,13,13," "," "," "," "," ",13,13," "," "," "," "," ",13,13," "," "," "," "," ",100,100,100
2011,08,00610000,Chicopee,Asian,9," "," "," "," "," "," ",10,10," "," "," "," "," ",9," "," "," "," "," "," "," ",100," "
2011,08,00610000,Chicopee,Hispanic/Latino,163,156,3,1,1,2," ",163,157,3," "," ",3," ",163,156,3,1," ",3," ",99,100,99
2011,08,00610000,Chicopee,White,352,349,1," ",1,1," ",352,349,1," ",1,1," ",352,349,1," ",1,1," ",100,100,100
2011,08,00610000,Chicopee,Multi-race,14,14," "," "," "," "," ",14,14," "," "," "," "," ",14,14," "," "," "," "," ",100,100,100
2011,08,00610000,Chicopee,"LEP/Formerly LEP",28,23,1,1," ",3," ",29,24,1," "," ",4," ",28,23,1," "," ",4," ",96,100,100
2011,08,00610000,Chicopee,"Special Ed",107,102,4," ",1," "," ",106,102,4," "," "," "," ",106,101,4,1," "," "," ",99,100,99
2011,10,00610000,Chicopee,"All Students",675,647,4,13,5,6," ",672,645,4,14,2,7," ",597,498,3,9," ",10,77,97,98,99
2011,10,00610000,Chicopee,"Low Income",366,341,3,11,5,6," ",366,343,3,12,1,7," ",303,236,2,7," ",10,48,96,96,98
2011,10,00610000,Chicopee,Black,23,23," "," "," "," "," ",24,23," ",1," "," "," ",21,13," "," "," "," ",8,100,96,100
2011,10,00610000,Chicopee,Asian,11,11," "," "," "," "," ",11,11," "," "," "," "," ",10,8," "," "," "," ",2,100,100,100
2011,10,00610000,Chicopee,Hispanic/Latino,172,161,1,8,2," "," ",173,169,1,3," "," "," ",133,93," ",4," "," ",36,94,98,98
2011,10,00610000,Chicopee,White,454,438,3,5,2,6," ",449,428,3,9,2,7," ",416,371,3,5," ",10,27,98,98,99
2011,10,00610000,Chicopee,"LEP/Formerly LEP",36,24," ",5,1,6," ",37,29," ",1," ",7," ",29,10," ",1," ",10,8,83,97,97
2011,10,00610000,Chicopee,"Special Ed",106,93,4,5,4," "," ",106,93,4,9," "," "," ",68,43,3,3," "," ",19,91,92,97
2011,03,00630000,Clarksburg,"All Students",17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00630000,Clarksburg,White,17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00630000,Clarksburg,"All Students",25,25," "," "," "," "," ",25,25," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00630000,Clarksburg,White,22,22," "," "," "," "," ",22,22," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,05,00630000,Clarksburg,"All Students",20,19,1," "," "," "," ",20,19,1," "," "," "," ",20,19,1," "," "," "," ",100,100,100
2011,05,00630000,Clarksburg,White,19,18,1," "," "," "," ",19,18,1," "," "," "," ",19,18,1," "," "," "," ",100,100,100
2011,06,00630000,Clarksburg,"All Students",25,25," "," "," "," "," ",26,26," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00630000,Clarksburg,White,24,24," "," "," "," "," ",25,25," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00630000,Clarksburg,"All Students",22,22," "," "," "," "," ",22,22," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00630000,Clarksburg,White,21,21," "," "," "," "," ",21,21," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,08,00630000,Clarksburg,"All Students",21,21," "," "," "," "," ",21,20,1," "," "," "," ",21,21," "," "," "," "," ",100,100,100
2011,08,00630000,Clarksburg,White,19,19," "," "," "," "," ",19,18,1," "," "," "," ",19,19," "," "," "," "," ",100,100,100
2011,03,00640000,Clinton,"All Students",146,146," "," "," "," "," ",147,147," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00640000,Clinton,"Low Income",72,72," "," "," "," "," ",73,73," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00640000,Clinton,Hispanic/Latino,28,28," "," "," "," "," ",29,29," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00640000,Clinton,White,106,106," "," "," "," "," ",106,106," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00640000,Clinton,"LEP/Formerly LEP",31,31," "," "," "," "," ",32,32," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00640000,Clinton,"Special Ed",30,30," "," "," "," "," ",30,30," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00640000,Clinton,"All Students",144,142,1," "," ",1," ",144,141,1," ",1,1," "," "," "," "," "," "," "," ",100,99," "
2011,04,00640000,Clinton,"Low Income",65,64," "," "," ",1," ",65,63," "," ",1,1," "," "," "," "," "," "," "," ",100,98," "
2011,04,00640000,Clinton,Hispanic/Latino,26,24,1," "," ",1," ",27,25,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,04,00640000,Clinton,White,104,104," "," "," "," "," ",103,102," "," ",1," "," "," "," "," "," "," "," "," ",100,99," "
2011,04,00640000,Clinton,"LEP/Formerly LEP",23,22," "," "," ",1," ",23,22," "," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,04,00640000,Clinton,"Special Ed",23,22,1," "," "," "," ",23,21,1," ",1," "," "," "," "," "," "," "," "," ",100,96," "
2011,05,00640000,Clinton,"All Students",165,160,1," "," ",4," ",167,162,1," "," ",4," ",167,162,1," "," ",4," ",100,100,100
2011,05,00640000,Clinton,"Low Income",81,77," "," "," ",4," ",83,79," "," "," ",4," ",83,79," "," "," ",4," ",100,100,100
2011,05,00640000,Clinton,Hispanic/Latino,39,35," "," "," ",4," ",39,35," "," "," ",4," ",39,35," "," "," ",4," ",100,100,100
2011,05,00640000,Clinton,White,117,116,1," "," "," "," ",119,118,1," "," "," "," ",119,118,1," "," "," "," ",100,100,100
2011,05,00640000,Clinton,"LEP/Formerly LEP",31,27," "," "," ",4," ",31,27," "," "," ",4," ",31,27," "," "," ",4," ",100,100,100
2011,05,00640000,Clinton,"Special Ed",38,35,1," "," ",2," ",39,36,1," "," ",2," ",39,36,1," "," ",2," ",100,100,100
2011,06,00640000,Clinton,"All Students",145,143," "," "," ",2," ",146,144," "," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2011,06,00640000,Clinton,"Low Income",74,72," "," "," ",2," ",75,73," "," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2011,06,00640000,Clinton,Hispanic/Latino,32,32," "," "," "," "," ",33,33," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00640000,Clinton,White,100,100," "," "," "," "," ",100,100," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00640000,Clinton,"LEP/Formerly LEP",17,15," "," "," ",2," ",17,15," "," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2011,06,00640000,Clinton,"Special Ed",26,26," "," "," "," "," ",26,26," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00640000,Clinton,"All Students",147,141,1,1," ",4," ",148,143," ",1," ",4," "," "," "," "," "," "," "," ",99,99," "
2011,07,00640000,Clinton,"Low Income",82,77," ",1," ",4," ",84,79," ",1," ",4," "," "," "," "," "," "," "," ",99,99," "
2011,07,00640000,Clinton,Black,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00640000,Clinton,Hispanic/Latino,36,33," "," "," ",3," ",38,35," "," "," ",3," "," "," "," "," "," "," "," ",100,100," "
2011,07,00640000,Clinton,White,100,97,1,1," ",1," ",99,97," ",1," ",1," "," "," "," "," "," "," "," ",99,99," "
2011,07,00640000,Clinton,"LEP/Formerly LEP",19,15," "," "," ",4," ",21,17," "," "," ",4," "," "," "," "," "," "," "," ",100,100," "
2011,07,00640000,Clinton,"Special Ed",28,27,1," "," "," "," ",28,28," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,08,00640000,Clinton,"All Students",139,135,2," "," ",2," ",139,135,2," "," ",2," ",139,135,2," "," ",2," ",100,100,100
2011,08,00640000,Clinton,"Low Income",58,55,2," "," ",1," ",58,55,2," "," ",1," ",58,55,2," "," ",1," ",100,100,100
2011,08,00640000,Clinton,Hispanic/Latino,28,26,1," "," ",1," ",28,26,1," "," ",1," ",28,26,1," "," ",1," ",100,100,100
2011,08,00640000,Clinton,White,102,101,1," "," "," "," ",102,101,1," "," "," "," ",102,101,1," "," "," "," ",100,100,100
2011,08,00640000,Clinton,"Special Ed",31,29,2," "," "," "," ",31,29,2," "," "," "," ",31,29,2," "," "," "," ",100,100,100
2011,10,00640000,Clinton,"All Students",130,127,3," "," "," "," ",129,125,3,1," "," "," ",125,110,2,1," "," ",12,100,99,99
2011,10,00640000,Clinton,"Low Income",70,67,3," "," "," "," ",68,65,3," "," "," "," ",66,54,2,1," "," ",9,100,100,99
2011,10,00640000,Clinton,Hispanic/Latino,28,26,2," "," "," "," ",28,26,2," "," "," "," ",24,18,1,1," "," ",4,100,100,97
2011,10,00640000,Clinton,White,93,92,1," "," "," "," ",92,90,1,1," "," "," ",93,86,1," "," "," ",6,100,99,100
2011,10,00640000,Clinton,"Special Ed",17,14,3," "," "," "," ",17,14,3," "," "," "," ",15,9,2,1," "," ",3,100,100,95
2011,03,00650000,Cohasset,"All Students",126,125,1," "," "," "," ",126,125,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00650000,Cohasset,White,111,110,1," "," "," "," ",111,110,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00650000,Cohasset,"Special Ed",15,14,1," "," "," "," ",15,14,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00650000,Cohasset,"All Students",151,150,1," "," "," "," ",151,150,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00650000,Cohasset,White,142,141,1," "," "," "," ",142,141,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00650000,Cohasset,"Special Ed",23,22,1," "," "," "," ",23,22,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,05,00650000,Cohasset,"All Students",111,109,1," ",1," "," ",111,109,1," ",1," "," ",111,109,1," ",1," "," ",99,99,99
2011,05,00650000,Cohasset,White,107,105,1," ",1," "," ",107,105,1," ",1," "," ",107,105,1," ",1," "," ",99,99,99
2011,05,00650000,Cohasset,"Special Ed",19,18,1," "," "," "," ",19,18,1," "," "," "," ",19,18,1," "," "," "," ",100,100,100
2011,06,00650000,Cohasset,"All Students",127,126," "," ",1," "," ",126,126," "," "," "," "," "," "," "," "," "," "," "," ",99,100," "
2011,06,00650000,Cohasset,White,122,121," "," ",1," "," ",121,121," "," "," "," "," "," "," "," "," "," "," "," ",99,100," "
2011,06,00650000,Cohasset,"Special Ed",13,13," "," "," "," "," ",13,13," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00650000,Cohasset,"All Students",121,121," "," "," "," "," ",121,121," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00650000,Cohasset,White,113,113," "," "," "," "," ",113,113," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00650000,Cohasset,"Special Ed",18,18," "," "," "," "," ",18,18," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,08,00650000,Cohasset,"All Students",106,105," ",1," "," "," ",106,106," "," "," "," "," ",106,105," ",1," "," "," ",99,100,99
2011,08,00650000,Cohasset,White,101,100," ",1," "," "," ",101,101," "," "," "," "," ",101,100," ",1," "," "," ",99,100,99
2011,08,00650000,Cohasset,"Special Ed",15,15," "," "," "," "," ",15,15," "," "," "," "," ",15,15," "," "," "," "," ",100,100,100
2011,10,00650000,Cohasset,"All Students",88,86,1," ",1," "," ",88,86,1,1," "," "," ",89,83," "," "," "," ",6,99,99,100
2011,10,00650000,Cohasset,White,85,83,1," ",1," "," ",85,83,1,1," "," "," ",86,80," "," "," "," ",6,99,99,100
2011,10,00650000,Cohasset,"Special Ed",16,15,1," "," "," "," ",16,15,1," "," "," "," ",17,14," "," "," "," ",3,100,100,100
2011,03,00670000,Concord,"All Students",207,201,5," "," ",1," ",208,203,4," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,03,00670000,Concord,Asian,13,12,1," "," "," "," ",13,12,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00670000,Concord,White,171,167,3," "," ",1," ",172,169,2," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,03,00670000,Concord,"Special Ed",38,33,5," "," "," "," ",38,34,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00670000,Concord,"All Students",217,215,2," "," "," "," ",217,216,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00670000,Concord,Asian,16,15,1," "," "," "," ",15,14,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00670000,Concord,Hispanic/Latino,13,13," "," "," "," "," ",14,14," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00670000,Concord,White,168,167,1," "," "," "," ",168,168," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00670000,Concord,Multi-race,12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00670000,Concord,"Special Ed",46,44,2," "," "," "," ",45,44,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,05,00670000,Concord,"All Students",219,214,5," "," "," "," ",219,214,4,1," "," "," ",219,215,3,1," "," "," ",100,100,100
2011,05,00670000,Concord,"Low Income",16,14,2," "," "," "," ",16,14,2," "," "," "," ",16,15,1," "," "," "," ",100,100,100
2011,05,00670000,Concord,Asian,18,18," "," "," "," "," ",18,18," "," "," "," "," ",18,18," "," "," "," "," ",100,100,100
2011,05,00670000,Concord,Hispanic/Latino,11,11," "," "," "," "," ",11,11," "," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2011,05,00670000,Concord,White,176,172,4," "," "," "," ",176,172,3,1," "," "," ",176,173,2,1," "," "," ",100,99,99
2011,05,00670000,Concord,"Special Ed",46,41,5," "," "," "," ",46,41,4,1," "," "," ",46,42,3,1," "," "," ",100,98,98
2011,06,00670000,Concord,"All Students",211,211," "," "," "," "," ",212,204,8," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00670000,Concord,"Low Income",16,16," "," "," "," "," ",16,12,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00670000,Concord,Asian,11,11," "," "," "," "," ",11,9,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00670000,Concord,White,181,181," "," "," "," "," ",182,177,5," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00670000,Concord,"Special Ed",60,60," "," "," "," "," ",60,52,8," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00670000,Concord,"All Students",210,208,2," "," "," "," ",210,207,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00670000,Concord,"Low Income",10,10," "," "," "," "," ",10,9,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00670000,Concord,Asian,14,14," "," "," "," "," ",14,14," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00670000,Concord,White,175,173,2," "," "," "," ",175,172,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00670000,Concord,"Special Ed",40,38,2," "," "," "," ",40,37,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,08,00670000,Concord,"All Students",214,212,1," ",1," "," ",214,210,2,1,1," "," ",214,210,2,1,1," "," ",100,99,99
2011,08,00670000,Concord,"Low Income",13,13," "," "," "," "," ",13,13," "," "," "," "," ",13,13," "," "," "," "," ",100,100,100
2011,08,00670000,Concord,Black,12,12," "," "," "," "," ",12,12," "," "," "," "," ",12,12," "," "," "," "," ",100,100,100
2011,08,00670000,Concord,Asian,15,13,1," ",1," "," ",15,13,1," ",1," "," ",15,13,1," ",1," "," ",93,93,93
2011,08,00670000,Concord,White,177,177," "," "," "," "," ",177,175,1,1," "," "," ",177,175,1,1," "," "," ",100,99,99
2011,08,00670000,Concord,"Special Ed",46,45,1," "," "," "," ",47,45,2," "," "," "," ",47,45,2," "," "," "," ",100,100,100
2011,03,00680000,Conway,"All Students",23,23," "," "," "," "," ",23,23," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00680000,Conway,White,22,22," "," "," "," "," ",22,22," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00680000,Conway,"All Students",27,27," "," "," "," "," ",27,27," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00680000,Conway,White,26,26," "," "," "," "," ",26,26," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,05,00680000,Conway,"All Students",22,22," "," "," "," "," ",22,22," "," "," "," "," ",22,22," "," "," "," "," ",100,100,100
2011,05,00680000,Conway,White,22,22," "," "," "," "," ",22,22," "," "," "," "," ",22,22," "," "," "," "," ",100,100,100
2011,06,00680000,Conway,"All Students",20,20," "," "," "," "," ",20,20," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00680000,Conway,White,20,20," "," "," "," "," ",20,20," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00710000,Danvers,"All Students",288,285,2," "," ",1," ",289,286,2," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,03,00710000,Danvers,"Low Income",56,55," "," "," ",1," ",57,56," "," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,03,00710000,Danvers,Asian,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00710000,Danvers,White,266,264,2," "," "," "," ",266,264,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00710000,Danvers,"Special Ed",47,45,2," "," "," "," ",47,45,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00710000,Danvers,"All Students",277,271,4,2," "," "," ",276,271,4," "," ",1," "," "," "," "," "," "," "," ",99,100," "
2011,04,00710000,Danvers,"Low Income",48,46," ",2," "," "," ",48,47," "," "," ",1," "," "," "," "," "," "," "," ",96,100," "
2011,04,00710000,Danvers,Hispanic/Latino,18,17," ",1," "," "," ",18,17," "," "," ",1," "," "," "," "," "," "," "," ",94,100," "
2011,04,00710000,Danvers,White,240,237,3," "," "," "," ",240,237,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00710000,Danvers,"Special Ed",42,38,4," "," "," "," ",42,38,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,05,00710000,Danvers,"All Students",276,272,4," "," "," "," ",276,271,5," "," "," "," ",276,272,4," "," "," "," ",100,100,100
2011,05,00710000,Danvers,"Low Income",49,49," "," "," "," "," ",49,49," "," "," "," "," ",49,49," "," "," "," "," ",100,100,100
2011,05,00710000,Danvers,Hispanic/Latino,10,9,1," "," "," "," ",10,9,1," "," "," "," ",10,10," "," "," "," "," ",100,100,100
2011,05,00710000,Danvers,White,249,246,3," "," "," "," ",249,245,4," "," "," "," ",249,245,4," "," "," "," ",100,100,100
2011,05,00710000,Danvers,"Special Ed",59,55,4," "," "," "," ",59,54,5," "," "," "," ",59,55,4," "," "," "," ",100,100,100
2011,06,00710000,Danvers,"All Students",312,303,5," ",1,3," ",313,305,5," "," ",3," "," "," "," "," "," "," "," ",100,100," "
2011,06,00710000,Danvers,"Low Income",56,53," "," ",1,2," ",56,54," "," "," ",2," "," "," "," "," "," "," "," ",98,100," "
2011,06,00710000,Danvers,Hispanic/Latino,17,15," "," "," ",2," ",17,15," "," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2011,06,00710000,Danvers,White,277,271,5," "," ",1," ",278,272,5," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,06,00710000,Danvers,"Special Ed",59,54,5," "," "," "," ",58,53,5," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00710000,Danvers,"All Students",293,291,1," "," ",1," ",292,290,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,07,00710000,Danvers,"Low Income",61,60," "," "," ",1," ",61,60," "," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,07,00710000,Danvers,Hispanic/Latino,11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00710000,Danvers,White,270,270," "," "," "," "," ",270,270," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,00710000,Danvers,"Special Ed",63,62,1," "," "," "," ",63,62,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,08,00710000,Danvers,"All Students",352,344,7,1," "," "," ",352,341,9,1," ",1," ",352,341,9,1," ",1," ",100,100,100
2011,08,00710000,Danvers,"Low Income",61,59,2," "," "," "," ",61,59,2," "," "," "," ",61,59,2," "," "," "," ",100,100,100
2011,08,00710000,Danvers,Hispanic/Latino,20,19,1," "," "," "," ",20,19,1," "," "," "," ",20,19,1," "," "," "," ",100,100,100
2011,08,00710000,Danvers,White,308,303,5," "," "," "," ",308,300,7,1," "," "," ",308,300,7,1," "," "," ",100,100,100
2011,08,00710000,Danvers,Multi-race,11,10,1," "," "," "," ",11,10,1," "," "," "," ",11,10,1," "," "," "," ",100,100,100
2011,08,00710000,Danvers,"Special Ed",67,60,7," "," "," "," ",67,57,9,1," "," "," ",67,57,9,1," "," "," ",100,99,99
2011,10,00710000,Danvers,"All Students",271,260,2,9," "," "," ",272,267,2,3," "," "," ",271,249,1," "," "," ",21,97,99,100
2011,10,00710000,Danvers,"Low Income",39,36," ",3," "," "," ",40,40," "," "," "," "," ",39,31," "," "," "," ",8,92,100,100
2011,10,00710000,Danvers,Hispanic/Latino,16,16," "," "," "," "," ",16,16," "," "," "," "," ",16,14," "," "," "," ",2,100,100,100
2011,10,00710000,Danvers,White,246,236,2,8," "," "," ",247,242,2,3," "," "," ",246,228,1," "," "," ",17,97,99,100
2011,10,00710000,Danvers,"Special Ed",48,41,2,5," "," "," ",48,44,2,2," "," "," ",46,40,1," "," "," ",5,89,96,100
2011,03,00720000,Dartmouth,"All Students",299,296,3," "," "," "," ",299,295,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00720000,Dartmouth,"Low Income",64,62,2," "," "," "," ",64,62,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00720000,Dartmouth,Asian,11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00720000,Dartmouth,White,270,267,3," "," "," "," ",270,266,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00720000,Dartmouth,"LEP/Formerly LEP",12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,00720000,Dartmouth,"Special Ed",43,40,3," "," "," "," ",43,39,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00720000,Dartmouth,"All Students",317,316,1," "," "," "," ",317,316,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00720000,Dartmouth,"Low Income",71,71," "," "," "," "," ",71,71," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00720000,Dartmouth,White,293,293," "," "," "," "," ",293,293," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00720000,Dartmouth,"LEP/Formerly LEP",17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,00720000,Dartmouth,"Special Ed",45,44,1," "," "," "," ",45,44,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,05,00720000,Dartmouth,"All Students",307,302,5," "," "," "," ",307,302,5," "," "," "," ",306,300,5," ",1," "," ",100,100,100
2011,05,00720000,Dartmouth,"Low Income",72,70,2," "," "," "," ",72,70,2," "," "," "," ",72,70,2," "," "," "," ",100,100,100
2011,05,00720000,Dartmouth,White,282,277,5," "," "," "," ",282,277,5," "," "," "," ",281,275,5," ",1," "," ",100,100,100
2011,05,00720000,Dartmouth,"LEP/Formerly LEP",13,13," "," "," "," "," ",13,13," "," "," "," "," ",13,13," "," "," "," "," ",100,100,100
2011,05,00720000,Dartmouth,"Special Ed",38,33,5," "," "," "," ",38,33,5," "," "," "," ",38,33,5," "," "," "," ",100,100,100
2011,06,00720000,Dartmouth,"All Students",337,332,5," "," "," "," ",337,332,5," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,00720000,Dartmouth,"Low Income",65,64,1," "," "," "," ",65,64,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
