Year,Org_code,DistrictName,SchoolName,Grade,Group,sort,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_part_rate,m_part_rate,s_part_rate
2012,00170005,Auburn,"Julia Bancroft",03,"Low Income",04,22,22," "," "," "," "," ",22,22," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00170005,Auburn,"Julia Bancroft",03,White,09,81,81," "," "," "," "," ",81,81," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00170005,Auburn,"Julia Bancroft",04,"All Students",01,83,83," "," "," "," "," ",83,83," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00170005,Auburn,"Julia Bancroft",04,"Low Income",04,23,23," "," "," "," "," ",23,23," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00170005,Auburn,"Julia Bancroft",04,White,09,69,69," "," "," "," "," ",69,69," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00170005,Auburn,"Julia Bancroft",05,"All Students",01,91,89," "," "," "," ",2,91,89," "," "," "," ",2,91,89," "," "," "," ",2,100,100,100
2012,00170005,Auburn,"Julia Bancroft",05,"Students with Disabilities",02,14,13," "," "," "," ",1,14,13," "," "," "," ",1,14,13," "," "," "," ",1,100,100,100
2012,00170005,Auburn,"Julia Bancroft",05,"Low Income",04,29,28," "," "," "," ",1,29,28," "," "," "," ",1,29,28," "," "," "," ",1,100,100,100
2012,00170005,Auburn,"Julia Bancroft",05,White,09,77,76," "," "," "," ",1,77,76," "," "," "," ",1,77,76," "," "," "," ",1,100,100,100
2012,00170015,Auburn,Pakachoag,03,"All Students",01,89,85,3," "," "," ",1,88,85,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00170015,Auburn,Pakachoag,03,"Students with Disabilities",02,11,7,3," "," "," ",1,10,7,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00170015,Auburn,Pakachoag,03,"Low Income",04,20,17,2," "," "," ",1,19,17,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00170015,Auburn,Pakachoag,03,White,09,81,78,3," "," "," "," ",81,78,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00170015,Auburn,Pakachoag,04,"All Students",01,90,84,4," "," "," ",2,90,84,4," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00170015,Auburn,Pakachoag,04,"Students with Disabilities",02,14,9,4," "," "," ",1,14,9,4," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00170015,Auburn,Pakachoag,04,"Low Income",04,15,13,1," "," "," ",1,15,13,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00170015,Auburn,Pakachoag,04,White,09,83,77,4," "," "," ",2,83,77,4," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00170015,Auburn,Pakachoag,05,"All Students",01,94,93,1," "," "," "," ",95,93,1," "," "," ",1,95,93,1," "," "," ",1,100,100,100
2012,00170015,Auburn,Pakachoag,05,"Students with Disabilities",02,12,11,1," "," "," "," ",12,11,1," "," "," "," ",12,11,1," "," "," "," ",100,100,100
2012,00170015,Auburn,Pakachoag,05,"Low Income",04,16,15,1," "," "," "," ",16,15,1," "," "," "," ",16,15,1," "," "," "," ",100,100,100
2012,00170015,Auburn,Pakachoag,05,White,09,85,84,1," "," "," "," ",86,84,1," "," "," ",1,86,84,1," "," "," ",1,100,100,100
2012,00170305,Auburn,"Auburn Middle",06,"All Students",01,197,189,2," "," "," ",6,197,189,2," "," "," ",6," "," "," "," "," "," "," ",100,100," "
2012,00170305,Auburn,"Auburn Middle",06,"Students with Disabilities",02,31,26,2," "," "," ",3,31,26,2," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2012,00170305,Auburn,"Auburn Middle",06,"Low Income",04,48,43," "," "," "," ",5,48,43," "," "," "," ",5," "," "," "," "," "," "," ",100,100," "
2012,00170305,Auburn,"Auburn Middle",06,White,09,177,170,2," "," "," ",5,177,170,2," "," "," ",5," "," "," "," "," "," "," ",100,100," "
2012,00170305,Auburn,"Auburn Middle",07,"All Students",01,184,178,1," "," "," ",5,180,175,1," ",1," ",3," "," "," "," "," "," "," ",100,99," "
2012,00170305,Auburn,"Auburn Middle",07,"Students with Disabilities",02,20,16,1," "," "," ",3,18,15,1," ",1," ",1," "," "," "," "," "," "," ",100,94," "
2012,00170305,Auburn,"Auburn Middle",07,"Low Income",04,50,45,1," "," "," ",4,47,43,1," ",1," ",2," "," "," "," "," "," "," ",100,98," "
2012,00170305,Auburn,"Auburn Middle",07,Hispanic/Latino,07,11,9," "," "," "," ",2,9," "," "," "," "," "," "," "," "," "," "," "," "," ",100," "," "
2012,00170305,Auburn,"Auburn Middle",07,White,09,155,152,1," "," "," ",2,154,151,1," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00170305,Auburn,"Auburn Middle",08,"All Students",01,168,164,2," "," "," ",2,168,164,2," "," "," ",2,168,165,1," "," "," ",2,100,100,100
2012,00170305,Auburn,"Auburn Middle",08,"Students with Disabilities",02,23,20,2," "," "," ",1,23,20,2," "," "," ",1,23,21,1," "," "," ",1,100,100,100
2012,00170305,Auburn,"Auburn Middle",08,"Low Income",04,40,39," "," "," "," ",1,40,39," "," "," "," ",1,40,39," "," "," "," ",1,100,100,100
2012,00170305,Auburn,"Auburn Middle",08,Hispanic/Latino,07,10,9," "," "," "," ",1,10,9," "," "," "," ",1,10,9," "," "," "," ",1,100,100,100
2012,00170305,Auburn,"Auburn Middle",08,White,09,146,143,2," "," "," ",1,146,143,2," "," "," ",1,146,144,1," "," "," ",1,100,100,100
2012,00170505,Auburn,"Auburn Senior High",10,"All Students",01,169,166,2," "," "," ",1,169,164,2,2," "," ",1,171,153,2,1," "," ",15,100,99,99
2012,00170505,Auburn,"Auburn Senior High",10,"Students with Disabilities",02,19,16,2," "," "," ",1,19,16,2," "," "," ",1,20,13,2," "," "," ",5,100,100,100
2012,00170505,Auburn,"Auburn Senior High",10,"Low Income",04,28,28," "," "," "," "," ",28,27," ",1," "," "," ",29,24," "," "," "," ",5,100,96,100
2012,00170505,Auburn,"Auburn Senior High",10,White,09,158,155,2," "," "," ",1,158,153,2,2," "," ",1,160,146,2,1," "," ",11,100,99,99
2012,00180010,Avon,"Ralph D Butler",03,"All Students",01,56,52,1," "," ",1,2,56,50,3," "," ",1,2," "," "," "," "," "," "," ",100,100," "
2012,00180010,Avon,"Ralph D Butler",03,"Low Income",04,18,16," "," "," "," ",2,18,15,1," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00180010,Avon,"Ralph D Butler",03,"African American",05,10,9,1," "," "," "," ",10,9,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00180010,Avon,"Ralph D Butler",03,White,09,37,36," "," "," "," ",1,37,34,2," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00180010,Avon,"Ralph D Butler",04,"All Students",01,55,54," "," "," "," ",1,55,54," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00180010,Avon,"Ralph D Butler",04,"Students with Disabilities",02,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00180010,Avon,"Ralph D Butler",04,"Low Income",04,13,13," "," "," "," "," ",13,13," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00180010,Avon,"Ralph D Butler",04,"African American",05,14,14," "," "," "," "," ",14,14," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00180010,Avon,"Ralph D Butler",04,White,09,29,28," "," "," "," ",1,29,28," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00180010,Avon,"Ralph D Butler",05,"All Students",01,60,60," "," "," "," "," ",60,59,1," "," "," "," ",60,59," "," ",1," "," ",100,100,98
2012,00180010,Avon,"Ralph D Butler",05,"Students with Disabilities",02,14,14," "," "," "," "," ",14,13,1," "," "," "," ",14,14," "," "," "," "," ",100,100,100
2012,00180010,Avon,"Ralph D Butler",05,"Low Income",04,19,19," "," "," "," "," ",19,18,1," "," "," "," ",19,19," "," "," "," "," ",100,100,100
2012,00180010,Avon,"Ralph D Butler",05,"African American",05,16,16," "," "," "," "," ",16,16," "," "," "," "," ",16,16," "," "," "," "," ",100,100,100
2012,00180010,Avon,"Ralph D Butler",05,White,09,37,37," "," "," "," "," ",37,36,1," "," "," "," ",37,36," "," ",1," "," ",100,100,97
2012,00180010,Avon,"Ralph D Butler",06,"All Students",01,65,62," "," "," "," ",3,65,61,1," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2012,00180010,Avon,"Ralph D Butler",06,"Low Income",04,23,21," "," "," "," ",2,23,21," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00180010,Avon,"Ralph D Butler",06,"African American",05,17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00180010,Avon,"Ralph D Butler",06,White,09,40,38," "," "," "," ",2,40,37,1," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00180510,Avon,"Avon Middle High School",07,"All Students",01,66,66," "," "," "," "," ",66,66," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00180510,Avon,"Avon Middle High School",07,"Students with Disabilities",02,14,14," "," "," "," "," ",14,14," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00180510,Avon,"Avon Middle High School",07,"Low Income",04,16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00180510,Avon,"Avon Middle High School",07,"African American",05,17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00180510,Avon,"Avon Middle High School",07,White,09,42,42," "," "," "," "," ",42,42," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00180510,Avon,"Avon Middle High School",08,"All Students",01,65,60,3," ",2," "," ",65,59,3,1,2," "," ",65,59,3,1,2," "," ",97,95,95
2012,00180510,Avon,"Avon Middle High School",08,"Students with Disabilities",02,13,9,3," ",1," "," ",13,8,3,1,1," "," ",13,8,3,1,1," "," ",92,85,85
2012,00180510,Avon,"Avon Middle High School",08,"Low Income",04,23,21,2," "," "," "," ",23,21,2," "," "," "," ",23,21,2," "," "," "," ",100,100,100
2012,00180510,Avon,"Avon Middle High School",08,"African American",05,19,17,1," ",1," "," ",19,17,1," ",1," "," ",19,16,1,1,1," "," ",95,95,89
2012,00180510,Avon,"Avon Middle High School",08,White,09,41,38,2," ",1," "," ",41,37,2,1,1," "," ",41,38,2," ",1," "," ",98,95,98
2012,00180510,Avon,"Avon Middle High School",10,"All Students",01,44,42,2," "," "," "," ",44,42,2," "," "," "," ",44,41,2," "," "," ",1,100,100,100
2012,00180510,Avon,"Avon Middle High School",10,"Low Income",04,11,9,2," "," "," "," ",11,9,2," "," "," "," ",11,8,2," "," "," ",1,100,100,100
2012,00180510,Avon,"Avon Middle High School",10,White,09,29,28,1," "," "," "," ",29,28,1," "," "," "," ",29,27,1," "," "," ",1,100,100,100
2012,00200005,Barnstable,"West Barnstable Elementary",03,"All Students",01,59,58," "," "," "," ",1,59,57,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00200005,Barnstable,"West Barnstable Elementary",03,White,09,52,52," "," "," "," "," ",52,51,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00200010,Barnstable,"Centerville Elementary",03,"All Students",01,76,69,4," "," ",1,2,77,69,4," "," ",2,2," "," "," "," "," "," "," ",100,100," "
2012,00200010,Barnstable,"Centerville Elementary",03,"Students with Disabilities",02,17,13,4," "," "," "," ",17,13,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00200010,Barnstable,"Centerville Elementary",03,"Low Income",04,18,13,3," "," ",1,1,18,13,3," "," ",1,1," "," "," "," "," "," "," ",100,100," "
2012,00200010,Barnstable,"Centerville Elementary",03,White,09,69,63,4," "," "," ",2,69,63,4," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00200025,Barnstable,"Hyannis West Elementary",03,"All Students",01,80,70,1," "," ",3,6,80,70,1," "," ",3,6," "," "," "," "," "," "," ",100,100," "
2012,00200025,Barnstable,"Hyannis West Elementary",03,"Students with Disabilities",02,15,12,1," "," ",1,1,15,12,1," "," ",1,1," "," "," "," "," "," "," ",100,100," "
2012,00200025,Barnstable,"Hyannis West Elementary",03,"ELL and Former ELL",03,26,21,1," "," ",3,1,26,21,1," "," ",3,1," "," "," "," "," "," "," ",100,100," "
2012,00200025,Barnstable,"Hyannis West Elementary",03,"Low Income",04,64,55,1," "," ",3,5,64,55,1," "," ",3,5," "," "," "," "," "," "," ",100,100," "
2012,00200025,Barnstable,"Hyannis West Elementary",03,"African American",05,14,11," "," "," ",1,2,14,11," "," "," ",1,2," "," "," "," "," "," "," ",100,100," "
2012,00200025,Barnstable,"Hyannis West Elementary",03,Hispanic/Latino,07,20,16,1," "," ",2,1,20,16,1," "," ",2,1," "," "," "," "," "," "," ",100,100," "
2012,00200025,Barnstable,"Hyannis West Elementary",03,White,09,32,32," "," "," "," "," ",32,32," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00200025,Barnstable,"Hyannis West Elementary",03,"Multi-Race (non-Hispanic/Latino)",11,10,8," "," "," "," ",2,10,8," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00200045,Barnstable,"West Villages Elementary School",03,"All Students",01,99,93,2," ",1," ",3,99,93,2," ",1," ",3," "," "," "," "," "," "," ",99,99," "
2012,00200045,Barnstable,"West Villages Elementary School",03,"Students with Disabilities",02,25,21,2," ",1," ",1,25,21,2," ",1," ",1," "," "," "," "," "," "," ",96,96," "
2012,00200045,Barnstable,"West Villages Elementary School",03,"Low Income",04,29,27,1," "," "," ",1,29,27,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00200045,Barnstable,"West Villages Elementary School",03,White,09,91,86,2," ",1," ",2,91,86,2," ",1," ",2," "," "," "," "," "," "," ",99,99," "
2012,00200315,Barnstable,"Barnstable Intermediate School",06,"All Students",01,390,369,9,1," "," ",11,392,369,9," "," ",3,11," "," "," "," "," "," "," ",100,100," "
2012,00200315,Barnstable,"Barnstable Intermediate School",06,"Students with Disabilities",02,66,54,9," "," "," ",3,66,54,9," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2012,00200315,Barnstable,"Barnstable Intermediate School",06,"ELL and Former ELL",03,24,23," ",1," "," "," ",26,23," "," "," ",3," "," "," "," "," "," "," "," ",96,100," "
2012,00200315,Barnstable,"Barnstable Intermediate School",06,"Low Income",04,151,138,4,1," "," ",8,153,138,4," "," ",3,8," "," "," "," "," "," "," ",99,100," "
2012,00200315,Barnstable,"Barnstable Intermediate School",06,"African American",05,17,16," "," "," "," ",1,17,16," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00200315,Barnstable,"Barnstable Intermediate School",06,Asian,06,11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00200315,Barnstable,"Barnstable Intermediate School",06,Hispanic/Latino,07,29,28,1," "," "," "," ",30,28,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2012,00200315,Barnstable,"Barnstable Intermediate School",06,White,09,312,294,7,1," "," ",10,313,294,7," "," ",2,10," "," "," "," "," "," "," ",100,100," "
2012,00200315,Barnstable,"Barnstable Intermediate School",06,"Multi-Race (non-Hispanic/Latino)",11,15,14,1," "," "," "," ",15,14,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00200315,Barnstable,"Barnstable Intermediate School",07,"All Students",01,379,365,4,1," ",4,5,385,363,4,3," ",9,6," "," "," "," "," "," "," ",100,99," "
2012,00200315,Barnstable,"Barnstable Intermediate School",07,"Students with Disabilities",02,53,47,4," "," "," ",2,54,44,4,3," "," ",3," "," "," "," "," "," "," ",100,94," "
2012,00200315,Barnstable,"Barnstable Intermediate School",07,"ELL and Former ELL",03,24,20," "," "," ",4," ",29,20," "," "," ",9," "," "," "," "," "," "," "," ",100,100," "
2012,00200315,Barnstable,"Barnstable Intermediate School",07,"Low Income",04,148,140,1,1," ",2,4,151,138,1,3," ",5,4," "," "," "," "," "," "," ",99,98," "
2012,00200315,Barnstable,"Barnstable Intermediate School",07,"African American",05,26,24," "," "," ",2," ",26,24," "," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2012,00200315,Barnstable,"Barnstable Intermediate School",07,Hispanic/Latino,07,21,20," "," "," "," ",1,24,20," "," "," ",3,1," "," "," "," "," "," "," ",100,100," "
2012,00200315,Barnstable,"Barnstable Intermediate School",07,White,09,308,297,4,1," ",2,4,310,296,4,2," ",4,4," "," "," "," "," "," "," ",100,99," "
2012,00200315,Barnstable,"Barnstable Intermediate School",07,"Multi-Race (non-Hispanic/Latino)",11,15,15," "," "," "," "," ",15,15," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00200505,Barnstable,"Barnstable High",08,"All Students",01,428,403,5,4,5,1,10,429,401,5,3,5,2,13,429,404,5,3,2,2,13,98,98,99
2012,00200505,Barnstable,"Barnstable High",08,"Students with Disabilities",02,67,57,5," ",2," ",3,67,55,5,1,3," ",3,67,55,5,2,2," ",3,97,94,94
2012,00200505,Barnstable,"Barnstable High",08,"ELL and Former ELL",03,22,16," ",3,1,1,1,23,18," "," "," ",2,3,23,18," "," "," ",2,3,82,100,100
2012,00200505,Barnstable,"Barnstable High",08,"Low Income",04,167,148,4,3,4,1,7,168,147,4,2,4,2,9,168,149,4,2,2,2,9,96,96,98
2012,00200505,Barnstable,"Barnstable High",08,"African American",05,24,22,1," "," "," ",1,25,22,1," "," ",1,1,25,22,1," "," ",1,1,100,100,100
2012,00200505,Barnstable,"Barnstable High",08,Hispanic/Latino,07,17,15," ",1," ",1," ",17,14," "," ",1,1,1,17,14," "," ",1,1,1,94,94,94
2012,00200505,Barnstable,"Barnstable High",08,White,09,346,326,4,3,4," ",9,346,325,4,3,3," ",11,346,328,4,3," "," ",11,98,98,99
2012,00200505,Barnstable,"Barnstable High",08,"Multi-Race (non-Hispanic/Latino)",11,23,22," "," ",1," "," ",23,22," "," ",1," "," ",23,22," "," ",1," "," ",96,96,96
2012,00200505,Barnstable,"Barnstable High",10,"All Students",01,355,325,3,9,2," ",16,356,325,3,8,4," ",16,364,308,3,5,2," ",46,97,97,98
2012,00200505,Barnstable,"Barnstable High",10,"Students with Disabilities",02,27,18,3,2," "," ",4,28,19,3,1," "," ",5,29,19,3,2," "," ",5,93,96,93
2012,00200505,Barnstable,"Barnstable High",10,"ELL and Former ELL",03,17,13," ",3," "," ",1,17,13," ",3," "," ",1,18,12," "," "," "," ",6,82,82,100
2012,00200505,Barnstable,"Barnstable High",10,"Low Income",04,126,108,2,6,2," ",8,127,106,2,7,4," ",8,133,101,2,4,2," ",24,94,91,95
2012,00200505,Barnstable,"Barnstable High",10,"African American",05,11,8," ",1," "," ",2,11,9," "," "," "," ",2,12,8," "," "," "," ",4,91,100,100
2012,00200505,Barnstable,"Barnstable High",10,Hispanic/Latino,07,17,16," ",1," "," "," ",17,16," ",1," "," "," ",19,14," "," "," "," ",5,94,94,100
2012,00200505,Barnstable,"Barnstable High",10,White,09,303,282,2,6,1," ",12,303,281,2,6,3," ",11,307,269,2,4,1," ",31,98,97,98
2012,00200505,Barnstable,"Barnstable High",10,"Multi-Race (non-Hispanic/Latino)",11,16,13,1,1,1," "," ",17,13,1,1,1," ",1,18,13,1," ",1," ",3,88,88,94
2012,00230012,Bedford,"Lt Job Lane School",03,"All Students",01,151,146," "," "," "," ",5,152,146," "," "," "," ",6," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",03,"Students with Disabilities",02,23,23," "," "," "," "," ",23,23," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",03,"ELL and Former ELL",03,15,14," "," "," "," ",1,15,14," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",03,"Low Income",04,17,16," "," "," "," ",1,17,16," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",03,Asian,06,15,13," "," "," "," ",2,16,13," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",03,Hispanic/Latino,07,14,14," "," "," "," "," ",14,14," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",03,White,09,112,110," "," "," "," ",2,112,110," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",04,"All Students",01,173,172," "," "," "," ",1,173,172," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",04,"Students with Disabilities",02,23,22," "," "," "," ",1,23,22," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",04,"ELL and Former ELL",03,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",04,"Low Income",04,22,21," "," "," "," ",1,22,21," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",04,"African American",05,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",04,Asian,06,25,25," "," "," "," "," ",25,25," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",04,White,09,125,125," "," "," "," "," ",125,125," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00230012,Bedford,"Lt Job Lane School",05,"All Students",01,181,178," "," "," "," ",3,182,178," "," "," "," ",4,182,178," "," "," "," ",4,100,100,100
2012,00230012,Bedford,"Lt Job Lane School",05,"Students with Disabilities",02,31,29," "," "," "," ",2,31,29," "," "," "," ",2,31,29," "," "," "," ",2,100,100,100
2012,00230012,Bedford,"Lt Job Lane School",05,"Low Income",04,20,18," "," "," "," ",2,20,18," "," "," "," ",2,20,18," "," "," "," ",2,100,100,100
2012,00230012,Bedford,"Lt Job Lane School",05,"African American",05,13,13," "," "," "," "," ",14,13," "," "," "," ",1,14,13," "," "," "," ",1,100,100,100
2012,00230012,Bedford,"Lt Job Lane School",05,Asian,06,15,15," "," "," "," "," ",15,15," "," "," "," "," ",15,15," "," "," "," "," ",100,100,100
2012,00230012,Bedford,"Lt Job Lane School",05,White,09,132,130," "," "," "," ",2,132,130," "," "," "," ",2,132,130," "," "," "," ",2,100,100,100
2012,00230012,Bedford,"Lt Job Lane School",05,"Multi-Race (non-Hispanic/Latino)",11,13,13," "," "," "," "," ",13,13," "," "," "," "," ",13,13," "," "," "," "," ",100,100,100
2012,00230305,Bedford,"John Glenn Middle",06,"All Students",01,199,195," "," "," ",2,2,200,195," "," "," ",2,3," "," "," "," "," "," "," ",100,100," "
2012,00230305,Bedford,"John Glenn Middle",06,"Students with Disabilities",02,36,35," "," "," "," ",1,36,35," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00230305,Bedford,"John Glenn Middle",06,"Low Income",04,15,13," "," "," "," ",2,15,13," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00230305,Bedford,"John Glenn Middle",06,"African American",05,17,16," "," "," "," ",1,17,16," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00230305,Bedford,"John Glenn Middle",06,Asian,06,31,30," "," "," ",1," ",32,30," "," "," ",1,1," "," "," "," "," "," "," ",100,100," "
2012,00230305,Bedford,"John Glenn Middle",06,Hispanic/Latino,07,13,13," "," "," "," "," ",13,13," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00230305,Bedford,"John Glenn Middle",06,White,09,134,132," "," "," ",1,1,134,132," "," "," ",1,1," "," "," "," "," "," "," ",100,100," "
2012,00230305,Bedford,"John Glenn Middle",07,"All Students",01,189,186," "," "," "," ",3,188,184," "," ",1," ",3," "," "," "," "," "," "," ",100,99," "
2012,00230305,Bedford,"John Glenn Middle",07,"Students with Disabilities",02,28,27," "," "," "," ",1,28,27," "," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00230305,Bedford,"John Glenn Middle",07,"Low Income",04,21,18," "," "," "," ",3,21,18," "," "," "," ",3," "," "," "," "," "," "," ",100,100," "
2012,00230305,Bedford,"John Glenn Middle",07,"African American",05,10,8," "," "," "," ",2,10,8," "," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2012,00230305,Bedford,"John Glenn Middle",07,Asian,06,19,19," "," "," "," "," ",19,19," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00230305,Bedford,"John Glenn Middle",07,White,09,146,145," "," "," "," ",1,145,143," "," ",1," ",1," "," "," "," "," "," "," ",100,99," "
2012,00230305,Bedford,"John Glenn Middle",07,"Multi-Race (non-Hispanic/Latino)",11,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,00230305,Bedford,"John Glenn Middle",08,"All Students",01,183,182," "," ",1," "," ",185,182," "," ",1," ",2,185,182," "," ",1," ",2,99,99,99
2012,00230305,Bedford,"John Glenn Middle",08,"Students with Disabilities",02,26,25," "," ",1," "," ",26,25," "," ",1," "," ",26,25," "," ",1," "," ",96,96,96
2012,00230305,Bedford,"John Glenn Middle",08,"Low Income",04,21,20," "," ",1," "," ",22,20," "," ",1," ",1,22,20," "," ",1," ",1,95,95,95
2012,00230305,Bedford,"John Glenn Middle",08,"African American",05,11,11," "," "," "," "," ",11,11," "," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2012,00230305,Bedford,"John Glenn Middle",08,Asian,06,13,13," "," "," "," "," ",13,13," "," "," "," "," ",13,13," "," "," "," "," ",100,100,100
2012,00230305,Bedford,"John Glenn Middle",08,White,09,148,148," "," "," "," "," ",149,148," "," "," "," ",1,149,148," "," "," "," ",1,100,100,100
2012,00230505,Bedford,"Bedford High",10,"All Students",01,195,189," ",1," "," ",5,195,188," "," ",1," ",6,199,170," ",1," "," ",28,99,99,99
2012,00230505,Bedford,"Bedford High",10,"Students with Disabilities",02,23,20," "," "," "," ",3,23,20," "," "," "," ",3,24,17," "," "," "," ",7,100,100,100
2012,00230505,Bedford,"Bedford High",10,"Low Income",04,14,12," "," "," "," ",2,14,12," "," "," "," ",2,15,9," "," "," "," ",6,100,100,100
2012,00230505,Bedford,"Bedford High",10,"African American",05,17,16," "," "," "," ",1,17,16," "," "," "," ",1,18,13," "," "," "," ",5,100,100,100
2012,00230505,Bedford,"Bedford High",10,Asian,06,30,30," "," "," "," "," ",30,30," "," "," "," "," ",30,29," "," "," "," ",1,100,100,100
2012,00230505,Bedford,"Bedford High",10,White,09,137,132," ",1," "," ",4,136,131," "," ",1," ",4,139,119," ",1," "," ",19,99,99,99
2012,00240006,Belchertown,"Chestnut Hill Community School",04,"All Students",01,188,185,1," "," "," ",2,189,184,1,1," "," ",3," "," "," "," "," "," "," ",100,99," "
2012,00240006,Belchertown,"Chestnut Hill Community School",04,"Students with Disabilities",02,28,26,1," "," "," ",1,28,26,1," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2012,00240006,Belchertown,"Chestnut Hill Community School",04,"Low Income",04,39,38," "," "," "," ",1,39,37," ",1," "," ",1," "," "," "," "," "," "," ",100,97," "
