Year,org_code,DistrictName,Grade,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2010,01440000,Ipswich,10,White,163,159,1,2," "," ",163,159,1,1,1," ",167,154," ",1," "," ",12,99,99,99
2010,01440000,Ipswich,10,"Special Ed",20,18,1," "," "," ",20,17,1," ",1," ",22,21," ",1," "," "," ",100,95,95
2010,01450000,Kingston,03,"All Students",158,156,2," "," "," ",158,156,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01450000,Kingston,03,"Low Income",23,23," "," "," "," ",23,23," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01450000,Kingston,03,White,156,154,2," "," "," ",156,154,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01450000,Kingston,03,"Special Ed",26,24,2," "," "," ",26,24,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01450000,Kingston,04,"All Students",177,173,3," ",1," ",177,173,3," ",1," "," "," "," "," "," "," "," ",99,99," "
2010,01450000,Kingston,04,"Low Income",25,25," "," "," "," ",25,24," "," ",1," "," "," "," "," "," "," "," ",100,96," "
2010,01450000,Kingston,04,White,167,164,3," "," "," ",167,163,3," ",1," "," "," "," "," "," "," "," ",100,99," "
2010,01450000,Kingston,04,"Special Ed",24,21,3," "," "," ",24,21,3," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01450000,Kingston,05,"All Students",169,168,1," "," "," ",168,167,1," "," "," ",168,166,1,1," "," "," ",100,100,99
2010,01450000,Kingston,05,"Low Income",27,27," "," "," "," ",26,26," "," "," "," ",26,25," ",1," "," "," ",100,100,96
2010,01450000,Kingston,05,White,166,165,1," "," "," ",165,164,1," "," "," ",165,163,1,1," "," "," ",100,100,99
2010,01450000,Kingston,05,"Special Ed",30,29,1," "," "," ",29,28,1," "," "," ",29,28,1," "," "," "," ",100,100,100
2010,01450000,Kingston,06,"All Students",167,165,2," "," "," ",166,164,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01450000,Kingston,06,"Low Income",23,23," "," "," "," ",23,23," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01450000,Kingston,06,White,163,161,2," "," "," ",162,160,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01450000,Kingston,06,"Special Ed",25,23,2," "," "," ",25,23,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01460000,Lakeville,03,"All Students",151,146,4,1," "," ",150,149,1," "," "," "," "," "," "," "," "," "," ",99,100," "
2010,01460000,Lakeville,03,"Low Income",14,12,1,1," "," ",14,14," "," "," "," "," "," "," "," "," "," "," ",93,100," "
2010,01460000,Lakeville,03,White,145,140,4,1," "," ",144,143,1," "," "," "," "," "," "," "," "," "," ",99,100," "
2010,01460000,Lakeville,03,"Special Ed",29,24,4,1," "," ",29,28,1," "," "," "," "," "," "," "," "," "," ",97,100," "
2010,01460000,Lakeville,04,"All Students",150,145,5," "," "," ",150,145,5," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01460000,Lakeville,04,"Low Income",18,18," "," "," "," ",18,18," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01460000,Lakeville,04,White,144,139,5," "," "," ",144,139,5," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01460000,Lakeville,04,"Special Ed",40,35,5," "," "," ",40,35,5," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01480000,Lanesborough,03,"All Students",43,40,2," "," ",1,43,40,2," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,01480000,Lanesborough,03,White,43,40,2," "," ",1,43,40,2," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,01480000,Lanesborough,03,"Special Ed",10,8,2," "," "," ",10,8,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01480000,Lanesborough,04,"All Students",35,33,1," ",1," ",35,33,1," ",1," "," "," "," "," "," "," "," ",97,97," "
2010,01480000,Lanesborough,04,White,32,30,1," ",1," ",32,30,1," ",1," "," "," "," "," "," "," "," ",97,97," "
2010,01480000,Lanesborough,05,"All Students",41,39,2," "," "," ",41,39,2," "," "," ",41,39,2," "," "," "," ",100,100,100
2010,01480000,Lanesborough,05,"Low Income",13,12,1," "," "," ",13,12,1," "," "," ",13,12,1," "," "," "," ",100,100,100
2010,01480000,Lanesborough,05,White,39,37,2," "," "," ",39,37,2," "," "," ",39,37,2," "," "," "," ",100,100,100
2010,01480000,Lanesborough,06,"All Students",32,31,1," "," "," ",32,31,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01480000,Lanesborough,06,White,31,30,1," "," "," ",31,30,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,03,"All Students",978,888,36,7," ",47,986,892,32,2," ",60," "," "," "," "," "," "," ",99,100," "
2010,01490000,Lawrence,03,"Low Income",909,822,35,7," ",45,916,827,31,2," ",56," "," "," "," "," "," "," ",99,100," "
2010,01490000,Lawrence,03,Black,19,18,1," "," "," ",19,18,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,03,Asian,21,20,1," "," "," ",21,20,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,03,Hispanic/Latino,878,792,32,7," ",47,884,796,28,2," ",58," "," "," "," "," "," "," ",99,100," "
2010,01490000,Lawrence,03,White,56,54,2," "," "," ",57,54,2," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,03,"LEP/Formerly LEP",479,407,19,6," ",47,488,412,17," "," ",59," "," "," "," "," "," "," ",99,100," "
2010,01490000,Lawrence,03,"Special Ed",186,148,36,2," "," ",185,151,32,2," "," "," "," "," "," "," "," "," ",99,99," "
2010,01490000,Lawrence,04,"All Students",991,899,40,5," ",47,999,905,32,1,2,59," "," "," "," "," "," "," ",99,100," "
2010,01490000,Lawrence,04,"Low Income",911,828,37,4," ",42,916,835,29,1,2,49," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,04,Black,19,18,1," "," "," ",19,19," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,04,Asian,25,24," "," "," ",1,25,24," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,04,Hispanic/Latino,878,792,36,4," ",46,887,797,29,1,2,58," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,04,White,66,62,3,1," "," ",67,64,3," "," "," "," "," "," "," "," "," "," ",98,100," "
2010,01490000,Lawrence,04,"LEP/Formerly LEP",359,289,21,2," ",47,369,293,16," ",1,59," "," "," "," "," "," "," ",99,100," "
2010,01490000,Lawrence,04,"Special Ed",207,165,40,1," ",1,206,170,32,1,2,1," "," "," "," "," "," "," ",100,99," "
2010,01490000,Lawrence,05,"All Students",972,890,44,9,1,28,974,887,45,3,2,37,971,883,42,5,4,37," ",99,99,99
2010,01490000,Lawrence,05,"Low Income",883,814,36,8,1,24,885,812,37,2,2,32,882,809,34,4,3,32," ",99,100,99
2010,01490000,Lawrence,05,Black,11,9,2," "," "," ",11,9,2," "," "," ",11,10,1," "," "," "," ",100,100,100
2010,01490000,Lawrence,05,Asian,19,17,2," "," "," ",19,17,2," "," "," ",19,17,2," "," "," "," ",100,100,100
2010,01490000,Lawrence,05,Hispanic/Latino,882,812,33,9,1,27,883,810,34,2,2,35,881,806,32,4,4,35," ",99,100,99
2010,01490000,Lawrence,05,White,57,50,7," "," "," ",57,49,7,1," "," ",56,48,7,1," "," "," ",100,98,98
2010,01490000,Lawrence,05,"LEP/Formerly LEP",288,238,13,9,1,27,291,240,14,1,1,35,290,239,13,2,1,35," ",97,99,99
2010,01490000,Lawrence,05,"Special Ed",243,195,44,3," ",1,242,194,45,2," ",1,242,195,42,4," ",1," ",99,99,98
2010,01490000,Lawrence,06,"All Students",932,838,37,26,5,26,941,845,37,1,4,54," "," "," "," "," "," "," ",97,99," "
2010,01490000,Lawrence,06,"Low Income",858,770,32,25,5,26,866,776,32,1,4,53," "," "," "," "," "," "," ",97,99," "
2010,01490000,Lawrence,06,Black,11,11," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,06,Asian,24,24," "," "," "," ",24,24," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,06,Hispanic/Latino,831,743,33,26,3,26,841,750,33,1,3,54," "," "," "," "," "," "," ",97,100," "
2010,01490000,Lawrence,06,White,64,58,4," ",2," ",64,59,4," ",1," "," "," "," "," "," "," "," ",97,98," "
2010,01490000,Lawrence,06,"LEP/Formerly LEP",250,193,7,24," ",26,260,198,7,1," ",54," "," "," "," "," "," "," ",90,100," "
2010,01490000,Lawrence,06,"Special Ed",222,177,37,2,5,1,223,178,37,1,4,3," "," "," "," "," "," "," ",97,98," "
2010,01490000,Lawrence,07,"All Students",979,883,30,4,3,59,986,882,30,2,4,68," "," "," "," "," "," "," ",99,99," "
2010,01490000,Lawrence,07,"Low Income",909,821,24,4,3,57,914,820,24,2,4,64," "," "," "," "," "," "," ",99,99," "
2010,01490000,Lawrence,07,Black,23,22,1," "," "," ",24,22,1," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,07,Asian,18,18," "," "," "," ",18,18," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,07,Hispanic/Latino,868,776,26,4,3,59,872,775,26,2,4,65," "," "," "," "," "," "," ",99,99," "
2010,01490000,Lawrence,07,White,69,66,3," "," "," ",70,66,3," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,01490000,Lawrence,07,"LEP/Formerly LEP",214,140,11,1,3,59,220,138,11,1,3,67," "," "," "," "," "," "," ",98,98," "
2010,01490000,Lawrence,07,"Special Ed",241,207,30,1,2,1,241,208,30," ",2,1," "," "," "," "," "," "," ",99,99," "
2010,01490000,Lawrence,08,"All Students",1072,989,28,5," ",50,1077,983,29,5,3,57,1077,984,26,7,3,57," ",99,99,99
2010,01490000,Lawrence,08,"Low Income",987,907,27,5," ",48,989,900,28,4,3,54,989,901,25,6,3,54," ",99,99,99
2010,01490000,Lawrence,08,Black,21,20," "," "," ",1,21,19," ",1," ",1,21,19," ",1," ",1," ",100,95,95
2010,01490000,Lawrence,08,Asian,27,26,1," "," "," ",27,26,1," "," "," ",27,26,1," "," "," "," ",100,100,100
2010,01490000,Lawrence,08,Hispanic/Latino,955,874,27,5," ",49,960,871,27,4,3,55,960,871,25,6,3,55," ",99,99,99
2010,01490000,Lawrence,08,White,67,67," "," "," "," ",67,65,1," "," ",1,67,66," "," "," ",1," ",100,100,100
2010,01490000,Lawrence,08,"LEP/Formerly LEP",238,172,12,4," ",50,245,173,13,2," ",57,245,172,12,3,1,57," ",98,99,98
2010,01490000,Lawrence,08,"Special Ed",289,255,28,2," ",4,290,252,29,1,3,5,291,256,26,2,2,5," ",99,99,99
2010,01490000,Lawrence,10,"All Students",850,667,23,53,1,13,858,690,23,38,5,11,881,616,18,29,1,13,204,93,94,97
2010,01490000,Lawrence,10,"Low Income",762,603,20,45,1,12,771,622,20,34,5,10,787,556,15,24,1,12,179,93,94,97
2010,01490000,Lawrence,10,Black,19,18," "," "," "," ",18,17," "," "," "," ",19,11," ",1," "," ",7,100,100,95
2010,01490000,Lawrence,10,Asian,22,16,1," "," ",2,22,16,1,1," ",1,22,17,1," "," ",2,2,100,95,100
2010,01490000,Lawrence,10,Hispanic/Latino,773,599,22,52,1,11,783,625,22,36,5,10,801,559,17,27,1,11,186,92,94,96
2010,01490000,Lawrence,10,White,36,34," ",1," "," ",35,32," ",1," "," ",37,29," ",1," "," ",7,97,97,97
2010,01490000,Lawrence,10,"LEP/Formerly LEP",187,136,1,23," ",13,199,154,1,19,2,11,204,83,1,12," ",13,95,87,89,94
2010,01490000,Lawrence,10,"Special Ed",163,104,23,16,1," ",162,106,23,14,1," ",167,109,18,11," "," ",29,88,90,93
2010,01500000,Lee,03,"All Students",40,39," ",1," "," ",40,39," ",1," "," "," "," "," "," "," "," "," ",98,98," "
2010,01500000,Lee,03,"Low Income",20,19," ",1," "," ",20,19," ",1," "," "," "," "," "," "," "," "," ",95,95," "
2010,01500000,Lee,03,White,32,32," "," "," "," ",32,32," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01500000,Lee,04,"All Students",46,45,1," "," "," ",46,45,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01500000,Lee,04,"Low Income",20,19,1," "," "," ",20,19,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01500000,Lee,04,White,43,42,1," "," "," ",43,42,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01500000,Lee,05,"All Students",57,56,1," "," "," ",57,56,1," "," "," ",57,56,1," "," "," "," ",100,100,100
2010,01500000,Lee,05,"Low Income",16,16," "," "," "," ",16,16," "," "," "," ",16,16," "," "," "," "," ",100,100,100
2010,01500000,Lee,05,White,52,51,1," "," "," ",52,51,1," "," "," ",52,51,1," "," "," "," ",100,100,100
2010,01500000,Lee,06,"All Students",59,56,3," "," "," ",59,55,4," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01500000,Lee,06,"Low Income",22,20,2," "," "," ",22,20,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01500000,Lee,06,White,52,49,3," "," "," ",52,48,4," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01500000,Lee,07,"All Students",56,54,1,1," "," ",56,54,1,1," "," "," "," "," "," "," "," "," ",98,98," "
2010,01500000,Lee,07,"Low Income",20,19," ",1," "," ",20,19," ",1," "," "," "," "," "," "," "," "," ",95,95," "
2010,01500000,Lee,07,White,50,49,1," "," "," ",50,49,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01500000,Lee,08,"All Students",77,75," ",2," "," ",77,76," ",1," "," ",77,76," ",1," "," "," ",97,99,99
2010,01500000,Lee,08,"Low Income",24,23," ",1," "," ",24,23," ",1," "," ",24,23," ",1," "," "," ",96,96,96
2010,01500000,Lee,08,White,65,64," ",1," "," ",65,65," "," "," "," ",65,65," "," "," "," "," ",98,100,100
2010,01500000,Lee,08,"Special Ed",10,10," "," "," "," ",10,10," "," "," "," ",10,10," "," "," "," "," ",100,100,100
2010,01500000,Lee,10,"All Students",86,84,2," "," "," ",87,85,2," "," "," ",86,73,2,2," "," ",9,100,100,98
2010,01500000,Lee,10,"Low Income",36,35,1," "," "," ",37,36,1," "," "," ",36,27,1,1," "," ",7,100,100,97
2010,01500000,Lee,10,White,75,73,2," "," "," ",75,73,2," "," "," ",75,63,2,2," "," ",8,100,100,97
2010,01500000,Lee,10,"Special Ed",12,10,2," "," "," ",13,11,2," "," "," ",13,6,2," "," "," ",5,100,100,100
2010,01510000,Leicester,03,"All Students",127,127," "," "," "," ",127,127," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01510000,Leicester,03,"Low Income",34,34," "," "," "," ",34,34," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01510000,Leicester,03,White,116,116," "," "," "," ",116,116," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01510000,Leicester,03,"Special Ed",18,18," "," "," "," ",18,18," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01510000,Leicester,04,"All Students",140,135,4,1," "," ",140,136,4," "," "," "," "," "," "," "," "," "," ",99,100," "
2010,01510000,Leicester,04,"Low Income",43,42,1," "," "," ",43,42,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01510000,Leicester,04,White,130,126,3,1," "," ",130,127,3," "," "," "," "," "," "," "," "," "," ",99,100," "
2010,01510000,Leicester,04,"Special Ed",20,16,4," "," "," ",20,16,4," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01510000,Leicester,05,"All Students",140,138,1,1," "," ",140,139," ",1," "," ",140,139," ",1," "," "," ",99,99,99
2010,01510000,Leicester,05,"Low Income",47,47," "," "," "," ",47,47," "," "," "," ",47,47," "," "," "," "," ",100,100,100
2010,01510000,Leicester,05,Hispanic/Latino,11,11," "," "," "," ",11,11," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2010,01510000,Leicester,05,White,120,118,1,1," "," ",120,119," ",1," "," ",120,119," ",1," "," "," ",99,99,99
2010,01510000,Leicester,05,"Special Ed",29,28,1," "," "," ",29,29," "," "," "," ",29,29," "," "," "," "," ",100,100,100
2010,01510000,Leicester,06,"All Students",137,133,2,1,1," ",137,132,3,1,1," "," "," "," "," "," "," "," ",99,99," "
2010,01510000,Leicester,06,"Low Income",31,30," ",1," "," ",31,29,1,1," "," "," "," "," "," "," "," "," ",97,97," "
2010,01510000,Leicester,06,White,124,120,2,1,1," ",124,119,3,1,1," "," "," "," "," "," "," "," ",98,98," "
2010,01510000,Leicester,06,"Special Ed",27,25,2," "," "," ",27,24,3," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01510000,Leicester,07,"All Students",144,143,1," "," "," ",144,143,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01510000,Leicester,07,"Low Income",29,29," "," "," "," ",29,29," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01510000,Leicester,07,White,129,128,1," "," "," ",129,128,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01510000,Leicester,07,"Special Ed",25,24,1," "," "," ",25,24,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01510000,Leicester,08,"All Students",158,152,2,2,1,1,158,151,3,2,1,1,158,151,3,2,1,1," ",97,98,98
2010,01510000,Leicester,08,"Low Income",33,31," ",1," ",1,33,31," ",1," ",1,33,31," ",1," ",1," ",94,97,97
2010,01510000,Leicester,08,Hispanic/Latino,10,8," ",1,1," ",10,8," ",1,1," ",10,8," ",1,1," "," ",80,80,80
2010,01510000,Leicester,08,White,139,136,2,1," "," ",139,135,3,1," "," ",139,135,3,1," "," "," ",99,99,99
2010,01510000,Leicester,08,"Special Ed",23,19,2,1,1," ",23,18,3,1,1," ",23,18,3,1,1," "," ",91,91,91
2010,01510000,Leicester,10,"All Students",140,128,3,4,1," ",140,130,3,3," "," ",140,123,1,5," "," ",11,96,98,96
2010,01510000,Leicester,10,"Low Income",28,26," "," ",1," ",28,27," "," "," "," ",28,22," ",3," "," ",3,96,100,89
2010,01510000,Leicester,10,White,125,117,2,3,1," ",125,119,2,2," "," ",125,113,1,3," "," ",8,97,98,98
2010,01510000,Leicester,10,"Special Ed",17,11,3,2," "," ",17,12,3,1," "," ",17,13,1,1," "," ",2,88,94,94
2010,01520000,Lenox,03,"All Students",45,45," "," "," "," ",45,45," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01520000,Lenox,03,White,39,39," "," "," "," ",39,39," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01520000,Lenox,04,"All Students",57,55," "," "," ",2,56,54," "," "," ",2," "," "," "," "," "," "," ",100,100," "
2010,01520000,Lenox,04,White,52,52," "," "," "," ",51,51," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01520000,Lenox,05,"All Students",64,63," "," "," ",1,64,63," "," "," ",1,64,63," "," "," ",1," ",100,100,100
2010,01520000,Lenox,05,"Low Income",12,12," "," "," "," ",12,12," "," "," "," ",12,12," "," "," "," "," ",100,100,100
2010,01520000,Lenox,05,White,57,57," "," "," "," ",57,57," "," "," "," ",57,57," "," "," "," "," ",100,100,100
2010,01520000,Lenox,06,"All Students",57,56," "," "," ",1,55,54," "," "," ",1," "," "," "," "," "," "," ",100,100," "
2010,01520000,Lenox,06,White,50,50," "," "," "," ",49,49," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01520000,Lenox,07,"All Students",65,63,1," "," ",1,65,62,1,1," ",1," "," "," "," "," "," "," ",100,98," "
2010,01520000,Lenox,07,White,60,59,1," "," "," ",60,58,1,1," "," "," "," "," "," "," "," "," ",100,98," "
2010,01520000,Lenox,08,"All Students",68,68," "," "," "," ",68,68," "," "," "," ",68,68," "," "," "," "," ",100,100,100
2010,01520000,Lenox,08,White,63,63," "," "," "," ",63,63," "," "," "," ",63,63," "," "," "," "," ",100,100,100
2010,01520000,Lenox,10,"All Students",64,63," ",1," "," ",64,64," "," "," "," ",64,59," "," "," "," ",5,98,100,100
2010,01520000,Lenox,10,White,59,58," ",1," "," ",59,59," "," "," "," ",59,55," "," "," "," ",4,98,100,100
2010,01530000,Leominster,03,"All Students",439,437,2," "," "," ",440,436,2,2," "," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,03,"Low Income",191,189,2," "," "," ",191,187,2,2," "," "," "," "," "," "," "," "," ",100,99," "
2010,01530000,Leominster,03,Black,24,24," "," "," "," ",24,24," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,03,Asian,15,15," "," "," "," ",15,15," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,03,Hispanic/Latino,102,101,1," "," "," ",102,100,1,1," "," "," "," "," "," "," "," "," ",100,99," "
2010,01530000,Leominster,03,White,281,280,1," "," "," ",281,279,1,1," "," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,03,Multi-race,16,16," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,03,"LEP/Formerly LEP",78,77,1," "," "," ",78,76,1,1," "," "," "," "," "," "," "," "," ",100,99," "
2010,01530000,Leominster,03,"Special Ed",85,83,2," "," "," ",85,81,2,2," "," "," "," "," "," "," "," "," ",100,98," "
2010,01530000,Leominster,04,"All Students",526,510,15,1," "," ",522,505,15," ",2," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,04,"Low Income",253,242,10,1," "," ",249,237,10," ",2," "," "," "," "," "," "," "," ",100,99," "
2010,01530000,Leominster,04,Black,36,35,1," "," "," ",36,35,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,04,Asian,19,18,1," "," "," ",19,18,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,04,Hispanic/Latino,122,118,3,1," "," ",121,116,4," ",1," "," "," "," "," "," "," "," ",99,99," "
2010,01530000,Leominster,04,White,342,333,9," "," "," ",339,330,8," ",1," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,04,"LEP/Formerly LEP",113,107,5,1," "," ",110,104,6," "," "," "," "," "," "," "," "," "," ",99,100," "
2010,01530000,Leominster,04,"Special Ed",113,97,15,1," "," ",112,96,15," ",1," "," "," "," "," "," "," "," ",99,99," "
2010,01530000,Leominster,05,"All Students",479,464,13," "," ",2,478,462,13," ",2,1,479,467,10," "," ",2," ",100,100,100
2010,01530000,Leominster,05,"Low Income",222,212,8," "," ",2,221,210,8," ",2,1,222,215,5," "," ",2," ",100,99,100
2010,01530000,Leominster,05,Black,35,33,2," "," "," ",36,33,2," ",1," ",36,34,2," "," "," "," ",100,97,100
2010,01530000,Leominster,05,Asian,16,16," "," "," "," ",16,16," "," "," "," ",16,16," "," "," "," "," ",100,100,100
2010,01530000,Leominster,05,Hispanic/Latino,127,121,5," "," ",1,127,120,5," ",1,1,127,123,3," "," ",1," ",100,99,100
2010,01530000,Leominster,05,White,290,283,6," "," ",1,288,282,6," "," "," ",289,283,5," "," ",1," ",100,100,100
2010,01530000,Leominster,05,"LEP/Formerly LEP",74,67,5," "," ",2,73,67,5," "," ",1,74,69,3," "," ",2," ",100,100,100
2010,01530000,Leominster,05,"Special Ed",87,74,13," "," "," ",87,72,13," ",2," ",87,77,10," "," "," "," ",100,98,100
2010,01530000,Leominster,06,"All Students",488,474,12,2," "," ",488,474,12," ",2," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,06,"Low Income",223,215,8," "," "," ",223,214,8," ",1," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,06,Black,30,30," "," "," "," ",30,30," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,06,Asian,12,12," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,06,Hispanic/Latino,121,118,3," "," "," ",121,118,3," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,06,White,310,302,7,1," "," ",310,301,7," ",2," "," "," "," "," "," "," "," ",100,99," "
2010,01530000,Leominster,06,Multi-race,14,11,2,1," "," ",14,12,2," "," "," "," "," "," "," "," "," "," ",93,100," "
2010,01530000,Leominster,06,"LEP/Formerly LEP",63,63," "," "," "," ",63,63," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,06,"Special Ed",101,87,12,2," "," ",101,88,12," ",1," "," "," "," "," "," "," "," ",98,99," "
2010,01530000,Leominster,07,"All Students",464,453,5,4,1,1,466,451,5,8,1,1," "," "," "," "," "," "," ",99,98," "
2010,01530000,Leominster,07,"Low Income",211,204,1,4,1,1,212,202,1,7,1,1," "," "," "," "," "," "," ",98,96," "
2010,01530000,Leominster,07,Black,29,29," "," "," "," ",30,29," ",1," "," "," "," "," "," "," "," "," ",100,97," "
2010,01530000,Leominster,07,Asian,17,17," "," "," "," ",18,18," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2010,01530000,Leominster,07,Hispanic/Latino,105,102," ",1,1,1,105,100," ",3,1,1," "," "," "," "," "," "," ",98,96," "
2010,01530000,Leominster,07,White,305,297,5,3," "," ",305,296,5,4," "," "," "," "," "," "," "," "," ",99,99," "
2010,01530000,Leominster,07,"LEP/Formerly LEP",64,61," ",1,1,1,64,61," ",1,1,1," "," "," "," "," "," "," ",97,97," "
2010,01530000,Leominster,07,"Special Ed",82,76,5,1," "," ",81,73,5,3," "," "," "," "," "," "," "," "," ",99,96," "
2010,01530000,Leominster,08,"All Students",472,456,9,4," ",3,470,456,9,3," ",2,471,456,9,3," ",3," ",99,99,99
2010,01530000,Leominster,08,"Low Income",192,185,3,2," ",2,191,185,3,2," ",1,192,185,3,2," ",2," ",99,99,99
2010,01530000,Leominster,08,Black,25,25," "," "," "," ",25,25," "," "," "," ",25,25," "," "," "," "," ",100,100,100
2010,01530000,Leominster,08,Asian,23,22,1," "," "," ",23,22,1," "," "," ",23,22,1," "," "," "," ",100,100,100
2010,01530000,Leominster,08,Hispanic/Latino,110,106,1,1," ",2,109,105,1,1," ",2,109,105,1,1," ",2," ",99,99,99
2010,01530000,Leominster,08,White,302,292,6,3," ",1,301,293,6,2," "," ",302,293,6,2," ",1," ",99,99,99
2010,01530000,Leominster,08,Multi-race,10,9,1," "," "," ",10,9,1," "," "," ",10,9,1," "," "," "," ",100,100,100
2010,01530000,Leominster,08,"LEP/Formerly LEP",62,59," "," "," ",3,61,59," "," "," ",2,62,59," "," "," ",3," ",100,100,100
2010,01530000,Leominster,08,"Special Ed",77,65,9,3," "," ",77,66,9,2," "," ",77,66,9,2," "," "," ",96,97,97
2010,01530000,Leominster,10,"All Students",477,461,9,1," "," ",476,455,9,2,2," ",483,432,6,1," "," ",44,100,99,100
2010,01530000,Leominster,10,"Low Income",190,183,5," "," "," ",190,179,5,1,1," ",193,167,4," "," "," ",22,100,99,100
2010,01530000,Leominster,10,Black,33,33," "," "," "," ",32,32," "," "," "," ",33,27," "," "," "," ",6,100,100,100
2010,01530000,Leominster,10,Asian,14,13,1," "," "," ",14,13,1," "," "," ",14,12,1," "," "," ",1,100,100,100
2010,01530000,Leominster,10,Hispanic/Latino,109,98,6,1," "," ",111,96,6,2,1," ",114,89,5," "," "," ",20,99,97,100
2010,01530000,Leominster,10,White,314,310,2," "," "," ",312,307,2," ",1," ",315,298," ",1," "," ",16,100,100,100
