Year,Org_code,DistrictName,Grade,Group,sort,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_part_rate,m_part_rate,s_part_rate
2012,01250000,Harvard,04,"Students with Disabilities",02,17,16,1," "," "," "," ",17,15,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01250000,Harvard,04,White,09,76,74,1," ",1," "," ",76,74,2," "," "," "," "," "," "," "," "," "," "," ",99,100," "
2012,01250000,Harvard,05,"All Students",01,87,87," "," "," "," "," ",87,87," "," "," "," "," ",87,87," "," "," "," "," ",100,100,100
2012,01250000,Harvard,05,"Students with Disabilities",02,11,11," "," "," "," "," ",11,11," "," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2012,01250000,Harvard,05,White,09,73,73," "," "," "," "," ",73,73," "," "," "," "," ",73,73," "," "," "," "," ",100,100,100
2012,01250000,Harvard,06,"All Students",01,111,111," "," "," "," "," ",111,110," "," ",1," "," "," "," "," "," "," "," "," ",100,99," "
2012,01250000,Harvard,06,"Students with Disabilities",02,17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01250000,Harvard,06,Asian,06,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01250000,Harvard,06,White,09,96,96," "," "," "," "," ",96,95," "," ",1," "," "," "," "," "," "," "," "," ",100,99," "
2012,01250000,Harvard,07,"All Students",01,112,109,2,1," "," "," ",112,109,2," ",1," "," "," "," "," "," "," "," "," ",99,99," "
2012,01250000,Harvard,07,"Students with Disabilities",02,14,12,2," "," "," "," ",14,12,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01250000,Harvard,07,Asian,06,11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01250000,Harvard,07,White,09,99,96,2,1," "," "," ",99,96,2," ",1," "," "," "," "," "," "," "," "," ",99,99," "
2012,01250000,Harvard,08,"All Students",01,108,108," "," "," "," "," ",108,108," "," "," "," "," ",108,108," "," "," "," "," ",100,100,100
2012,01250000,Harvard,08,"Students with Disabilities",02,13,13," "," "," "," "," ",13,13," "," "," "," "," ",13,13," "," "," "," "," ",100,100,100
2012,01250000,Harvard,08,White,09,102,102," "," "," "," "," ",102,102," "," "," "," "," ",102,102," "," "," "," "," ",100,100,100
2012,01250000,Harvard,10,"All Students",01,108,108," "," "," "," "," ",108,108," "," "," "," "," ",108,104," ",1," "," ",3,100,100,99
2012,01250000,Harvard,10,"Students with Disabilities",02,10,10," "," "," "," "," ",10,10," "," "," "," "," ",10,9," ",1," "," "," ",100,100,90
2012,01250000,Harvard,10,White,09,95,95," "," "," "," "," ",95,95," "," "," "," "," ",95,91," ",1," "," ",3,100,100,99
2012,01260000,Harwich,03,"All Students",01,103,103," "," "," "," "," ",102,102," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,03,"Students with Disabilities",02,11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,03,"Low Income",04,18,18," "," "," "," "," ",18,18," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,03,White,09,87,87," "," "," "," "," ",87,87," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,04,"All Students",01,104,102,1," ",1," "," ",104,102,1,1," "," "," "," "," "," "," "," "," "," ",99,99," "
2012,01260000,Harwich,04,"Students with Disabilities",02,16,15,1," "," "," "," ",16,15,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,04,"Low Income",04,27,27," "," "," "," "," ",27,27," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,04,White,09,93,91,1," ",1," "," ",93,92,1," "," "," "," "," "," "," "," "," "," "," ",99,100," "
2012,01260000,Harwich,05,"All Students",01,104,101,2,1," "," "," ",104,100,2,2," "," "," ",104,101,2,1," "," "," ",99,98,99
2012,01260000,Harwich,05,"Students with Disabilities",02,16,14,2," "," "," "," ",16,14,2," "," "," "," ",16,14,2," "," "," "," ",100,100,100
2012,01260000,Harwich,05,"Low Income",04,38,38," "," "," "," "," ",38,38," "," "," "," "," ",38,37," ",1," "," "," ",100,100,97
2012,01260000,Harwich,05,"African American",05,10,8,2," "," "," "," ",10,8,2," "," "," "," ",10,8,2," "," "," "," ",100,100,100
2012,01260000,Harwich,05,White,09,82,81," ",1," "," "," ",82,80," ",2," "," "," ",82,81," ",1," "," "," ",99,98,99
2012,01260000,Harwich,06,"All Students",01,111,108,2," "," ",1," ",111,108,2," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,06,"Students with Disabilities",02,20,18,2," "," "," "," ",20,18,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,06,"Low Income",04,29,29," "," "," "," "," ",29,29," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,06,White,09,92,90,2," "," "," "," ",92,90,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,07,"All Students",01,88,85,1," "," ",2," ",87,84,1," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,07,"Students with Disabilities",02,15,14,1," "," "," "," ",14,13,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,07,"Low Income",04,24,22," "," "," ",2," ",24,22," "," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,07,White,09,76,75,1," "," "," "," ",75,74,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01260000,Harwich,08,"All Students",01,110,108,1,1," "," "," ",111,108,1,2," "," "," ",111,110,1," "," "," "," ",99,98,100
2012,01260000,Harwich,08,"Students with Disabilities",02,16,15,1," "," "," "," ",16,15,1," "," "," "," ",16,15,1," "," "," "," ",100,100,100
2012,01260000,Harwich,08,"Low Income",04,27,27," "," "," "," "," ",27,26," ",1," "," "," ",27,27," "," "," "," "," ",100,96,100
2012,01260000,Harwich,08,White,09,94,92,1,1," "," "," ",95,92,1,2," "," "," ",95,94,1," "," "," "," ",99,98,100
2012,01260000,Harwich,10,"All Students",01,76,70,1,3," ",2," ",77,74,1," "," ",2," ",77,61,1," "," ",2,13,96,100,100
2012,01260000,Harwich,10,"Students with Disabilities",02,11,9,1,1," "," "," ",11,10,1," "," "," "," ",12,8,1," "," "," ",3,91,100,100
2012,01260000,Harwich,10,"Low Income",04,17,15," ",1," ",1," ",17,16," "," "," ",1," ",17,12," "," "," ",1,4,94,100,100
2012,01260000,Harwich,10,White,09,68,67,1," "," "," "," ",68,67,1," "," "," "," ",69,58,1," "," "," ",10,100,100,100
2012,01270000,Hatfield,03,"All Students",01,36,36," "," "," "," "," ",36,36," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01270000,Hatfield,03,White,09,34,34," "," "," "," "," ",34,34," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01270000,Hatfield,04,"All Students",01,36,36," "," "," "," "," ",36,36," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01270000,Hatfield,04,White,09,33,33," "," "," "," "," ",33,33," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01270000,Hatfield,05,"All Students",01,34,33," ",1," "," "," ",34,34," "," "," "," "," ",34,34," "," "," "," "," ",97,100,100
2012,01270000,Hatfield,05,White,09,31,30," ",1," "," "," ",31,31," "," "," "," "," ",31,31," "," "," "," "," ",97,100,100
2012,01270000,Hatfield,06,"All Students",01,28,28," "," "," "," "," ",28,28," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01270000,Hatfield,06,White,09,28,28," "," "," "," "," ",28,28," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01270000,Hatfield,07,"All Students",01,32,32," "," "," "," "," ",33,33," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01270000,Hatfield,07,White,09,28,28," "," "," "," "," ",29,29," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01270000,Hatfield,08,"All Students",01,39,37,2," "," "," "," ",39,37,2," "," "," "," ",39,37,2," "," "," "," ",100,100,100
2012,01270000,Hatfield,08,White,09,37,35,2," "," "," "," ",37,35,2," "," "," "," ",37,35,2," "," "," "," ",100,100,100
2012,01270000,Hatfield,10,"All Students",01,30,30," "," "," "," "," ",30,30," "," "," "," "," ",30,27," "," ",1," ",2,100,100,97
2012,01270000,Hatfield,10,White,09,26,26," "," "," "," "," ",26,26," "," "," "," "," ",26,24," "," ",1," ",1,100,100,96
2012,01280000,Haverhill,03,"All Students",01,524,495,22,1,2,4," ",525,498,22,1,1,3," "," "," "," "," "," "," "," ",99,100," "
2012,01280000,Haverhill,03,"Students with Disabilities",02,125,101,22,1,1," "," ",125,101,22,1,1," "," "," "," "," "," "," "," "," ",98,98," "
2012,01280000,Haverhill,03,"ELL and Former ELL",03,57,53,2," "," ",2," ",57,54,2," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,03,"Low Income",04,289,277,9," ",1,2," ",288,278,9," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,03,"African American",05,20,18,1," "," ",1," ",20,18,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,03,Hispanic/Latino,07,142,131,8," "," ",3," ",142,132,8," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,03,White,09,353,337,13,1,2," "," ",354,339,13,1,1," "," "," "," "," "," "," "," "," ",99,99," "
2012,01280000,Haverhill,04,"All Students",01,546,512,27," ",1,6," ",548,514,27," ",1,6," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,04,"Students with Disabilities",02,121,93,27," ",1," "," ",123,95,27," ",1," "," "," "," "," "," "," "," "," ",99,99," "
2012,01280000,Haverhill,04,"ELL and Former ELL",03,54,46,2," "," ",6," ",54,46,2," "," ",6," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,04,"Low Income",04,278,260,15," ",1,2," ",280,262,15," ",1,2," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,04,"African American",05,25,24,1," "," "," "," ",25,24,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,04,Hispanic/Latino,07,150,138,8," "," ",4," ",152,140,8," "," ",4," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,04,White,09,358,339,17," ",1,1," ",358,339,17," ",1,1," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,05,"All Students",01,531,501,23,1,1,5," ",530,498,25,1,1,5," ",529,495,24,3,2,5," ",100,100,99
2012,01280000,Haverhill,05,"Students with Disabilities",02,130,104,23,1,1,1," ",130,102,25,1,1,1," ",130,103,24,1,1,1," ",98,98,98
2012,01280000,Haverhill,05,"ELL and Former ELL",03,60,52,3," "," ",5," ",60,52,3," "," ",5," ",60,52,3," "," ",5," ",100,100,100
2012,01280000,Haverhill,05,"Low Income",04,281,261,15," ",1,4," ",280,258,17," ",1,4," ",280,258,16,1,1,4," ",100,100,99
2012,01280000,Haverhill,05,"African American",05,29,25,4," "," "," "," ",29,25,4," "," "," "," ",29,25,4," "," "," "," ",100,100,100
2012,01280000,Haverhill,05,Asian,06,12,12," "," "," "," "," ",12,12," "," "," "," "," ",12,12," "," "," "," "," ",100,100,100
2012,01280000,Haverhill,05,Hispanic/Latino,07,149,138,6," "," ",5," ",148,137,6," "," ",5," ",148,137,6," "," ",5," ",100,100,100
2012,01280000,Haverhill,05,White,09,338,323,13,1,1," "," ",338,321,15,1,1," "," ",337,318,14,3,2," "," ",99,99,99
2012,01280000,Haverhill,06,"All Students",01,597,566,25,2,1,3," ",595,564,25,3," ",3," "," "," "," "," "," "," "," ",99,99," "
2012,01280000,Haverhill,06,"Students with Disabilities",02,140,113,25,1,1," "," ",140,114,25,1," "," "," "," "," "," "," "," "," "," ",99,99," "
2012,01280000,Haverhill,06,"ELL and Former ELL",03,55,46,5,1," ",3," ",54,46,5," "," ",3," "," "," "," "," "," "," "," ",98,100," "
2012,01280000,Haverhill,06,"Low Income",04,283,264,15,2,1,1," ",283,264,15,3," ",1," "," "," "," "," "," "," "," ",99,99," "
2012,01280000,Haverhill,06,"African American",05,26,26," "," "," "," "," ",26,26," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,06,Asian,06,12,10,1," "," ",1," ",12,10,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,06,Hispanic/Latino,07,137,122,11,2," ",2," ",136,122,11,1," ",2," "," "," "," "," "," "," "," ",99,99," "
2012,01280000,Haverhill,06,White,09,414,400,13," ",1," "," ",414,399,13,2," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,07,"All Students",01,627,597,21,5,1,3," ",632,603,22,3,1,3," "," "," "," "," "," "," "," ",99,99," "
2012,01280000,Haverhill,07,"Students with Disabilities",02,151,126,21,3," ",1," ",154,129,22,2," ",1," "," "," "," "," "," "," "," ",98,99," "
2012,01280000,Haverhill,07,"ELL and Former ELL",03,39,35," ",1," ",3," ",39,36," "," "," ",3," "," "," "," "," "," "," "," ",97,100," "
2012,01280000,Haverhill,07,"Low Income",04,314,294,15,3," ",2," ",316,297,15,2," ",2," "," "," "," "," "," "," "," ",99,99," "
2012,01280000,Haverhill,07,"African American",05,17,16," ",1," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",94,100," "
2012,01280000,Haverhill,07,Asian,06,11,10,1," "," "," "," ",11,10,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01280000,Haverhill,07,Hispanic/Latino,07,177,165,7,2," ",3," ",179,167,8,1," ",3," "," "," "," "," "," "," "," ",99,99," "
2012,01280000,Haverhill,07,White,09,419,403,13,2,1," "," ",421,405,13,2,1," "," "," "," "," "," "," "," "," ",99,99," "
2012,01280000,Haverhill,08,"All Students",01,657,614,28,6,4,5," ",655,612,28,7,2,6," ",655,614,26,7,2,6," ",98,99,99
2012,01280000,Haverhill,08,"Students with Disabilities",02,160,124,28,5,3," "," ",159,123,28,6,2," "," ",159,124,26,7,2," "," ",95,95,94
2012,01280000,Haverhill,08,"ELL and Former ELL",03,55,44,6," "," ",5," ",56,44,6," "," ",6," ",56,46,4," "," ",6," ",100,100,100
2012,01280000,Haverhill,08,"Low Income",04,309,288,19,1,1," "," ",307,287,19,1," "," "," ",307,289,17,1," "," "," ",99,100,100
2012,01280000,Haverhill,08,"African American",05,25,21,1," "," ",3," ",25,21,1," "," ",3," ",25,21,1," "," ",3," ",100,100,100
2012,01280000,Haverhill,08,Hispanic/Latino,07,164,149,12,1,1,1," ",163,148,12,1,1,1," ",163,150,10,1,1,1," ",99,99,99
2012,01280000,Haverhill,08,White,09,456,434,14,5,3," "," ",455,433,14,6,1,1," ",455,433,14,6,1,1," ",98,98,98
2012,01280000,Haverhill,10,"All Students",01,443,383,15,39," ",6," ",444,396,15,27," ",6," ",473,372,1,5," ",10,85,91,94,99
2012,01280000,Haverhill,10,"Students with Disabilities",02,101,64,15,21," ",1," ",103,76,15,11," ",1," ",110,81,1,3," ",1,24,79,89,97
2012,01280000,Haverhill,10,"ELL and Former ELL",03,44,30,2,6," ",6," ",45,33,2,4," ",6," ",50,30," "," "," ",9,11,86,91,100
2012,01280000,Haverhill,10,"Low Income",04,183,143,10,27," ",3," ",184,153,10,18," ",3," ",201,153,1,2," ",5,40,85,90,99
2012,01280000,Haverhill,10,"African American",05,20,19," ",1," "," "," ",20,20," "," "," "," "," ",23,17," "," "," "," ",6,95,100,100
2012,01280000,Haverhill,10,Asian,06,8," "," "," "," "," "," ",8," "," "," "," "," "," ",10,7," "," "," ",2,1," "," ",100
2012,01280000,Haverhill,10,Hispanic/Latino,07,108,79,3,21," ",5," ",110,87,3,15," ",5," ",119,81," "," "," ",7,31,80,86,100
2012,01280000,Haverhill,10,White,09,303,275,11,17," "," "," ",302,279,11,12," "," "," ",317,264,1,5," "," ",47,94,96,99
2012,01310000,Hingham,03,"All Students",01,386,383,3," "," "," "," ",386,382,3,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01310000,Hingham,03,"Students with Disabilities",02,53,50,3," "," "," "," ",53,49,3,1," "," "," "," "," "," "," "," "," "," ",100,98," "
2012,01310000,Hingham,03,"Low Income",04,17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01310000,Hingham,03,White,09,366,363,3," "," "," "," ",366,362,3,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01310000,Hingham,04,"All Students",01,335,335," "," "," "," "," ",335,334,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01310000,Hingham,04,"Students with Disabilities",02,55,55," "," "," "," "," ",55,54,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01310000,Hingham,04,Hispanic/Latino,07,12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01310000,Hingham,04,White,09,309,309," "," "," "," "," ",309,308,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01310000,Hingham,05,"All Students",01,324,320,4," "," "," "," ",323,315,7," ",1," "," ",323,318,4," ",1," "," ",100,100,100
2012,01310000,Hingham,05,"Students with Disabilities",02,45,41,4," "," "," "," ",45,38,7," "," "," "," ",45,41,4," "," "," "," ",100,100,100
2012,01310000,Hingham,05,"Low Income",04,18,18," "," "," "," "," ",18,18," "," "," "," "," ",18,18," "," "," "," "," ",100,100,100
2012,01310000,Hingham,05,White,09,303,299,4," "," "," "," ",302,295,6," ",1," "," ",302,297,4," ",1," "," ",100,100,100
2012,01310000,Hingham,06,"All Students",01,349,343,3,2,1," "," ",349,343,3,1,2," "," "," "," "," "," "," "," "," ",99,99," "
2012,01310000,Hingham,06,"Students with Disabilities",02,57,52,3,2," "," "," ",57,52,3,1,1," "," "," "," "," "," "," "," "," ",96,96," "
2012,01310000,Hingham,06,"Low Income",04,18,18," "," "," "," "," ",18,18," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01310000,Hingham,06,White,09,321,315,3,2,1," "," ",321,315,3,1,2," "," "," "," "," "," "," "," "," ",99,99," "
2012,01310000,Hingham,07,"All Students",01,315,310,4,1," "," "," ",315,310,4,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01310000,Hingham,07,"Students with Disabilities",02,63,58,4,1," "," "," ",63,58,4,1," "," "," "," "," "," "," "," "," "," ",98,98," "
2012,01310000,Hingham,07,"Low Income",04,15,14,1," "," "," "," ",15,14,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01310000,Hingham,07,White,09,291,287,3,1," "," "," ",291,287,3,1," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01310000,Hingham,07,"Multi-Race (non-Hispanic/Latino)",11,12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01310000,Hingham,08,"All Students",01,297,294,2,1," "," "," ",298,295,2,1," "," "," ",298,294,2,2," "," "," ",100,100,99
2012,01310000,Hingham,08,"Students with Disabilities",02,64,61,2,1," "," "," ",64,61,2,1," "," "," ",64,61,2,1," "," "," ",98,98,98
2012,01310000,Hingham,08,"Low Income",04,10,10," "," "," "," "," ",10,10," "," "," "," "," ",10,10," "," "," "," "," ",100,100,100
2012,01310000,Hingham,08,White,09,277,274,2,1," "," "," ",278,275,2,1," "," "," ",278,274,2,2," "," "," ",100,100,99
2012,01310000,Hingham,10,"All Students",01,270,264,3,2,1," "," ",270,263,3,3,1," "," ",274,259,1," "," "," ",14,99,99,100
2012,01310000,Hingham,10,"Students with Disabilities",02,36,33,3," "," "," "," ",36,32,3,1," "," "," ",37,35,1," "," "," ",1,100,97,100
2012,01310000,Hingham,10,"Low Income",04,17,16," ",1," "," "," ",17,16," ",1," "," "," ",17,15," "," "," "," ",2,94,94,100
2012,01310000,Hingham,10,White,09,247,242,3,2," "," "," ",247,241,3,3," "," "," ",251,238,1," "," "," ",12,99,99,100
2012,01310000,Hingham,10,"Multi-Race (non-Hispanic/Latino)",11,10,9," "," ",1," "," ",10,9," "," ",1," "," ",10,10," "," "," "," "," ",90,90,100
2012,01330000,Holbrook,03,"All Students",01,97,97," "," "," "," "," ",97,97," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,03,"Students with Disabilities",02,21,21," "," "," "," "," ",21,21," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,03,"Low Income",04,37,37," "," "," "," "," ",37,37," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,03,"African American",05,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,03,Hispanic/Latino,07,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,03,White,09,72,72," "," "," "," "," ",72,72," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,04,"All Students",01,106,104,2," "," "," "," ",106,104,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,04,"Students with Disabilities",02,17,15,2," "," "," "," ",17,15,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,04,"Low Income",04,40,39,1," "," "," "," ",40,39,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,04,"African American",05,13,13," "," "," "," "," ",13,13," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,04,White,09,72,72," "," "," "," "," ",72,72," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,05,"All Students",01,94,89,5," "," "," "," ",94,89,5," "," "," "," ",94,88,5," ",1," "," ",100,100,99
2012,01330000,Holbrook,05,"Students with Disabilities",02,19,14,5," "," "," "," ",19,14,5," "," "," "," ",19,14,5," "," "," "," ",100,100,100
2012,01330000,Holbrook,05,"Low Income",04,36,35,1," "," "," "," ",36,35,1," "," "," "," ",36,35,1," "," "," "," ",100,100,100
2012,01330000,Holbrook,05,"African American",05,12,12," "," "," "," "," ",12,12," "," "," "," "," ",12,11," "," ",1," "," ",100,100,92
2012,01330000,Holbrook,05,White,09,69,64,5," "," "," "," ",69,64,5," "," "," "," ",69,64,5," "," "," "," ",100,100,100
2012,01330000,Holbrook,06,"All Students",01,100,97,3," "," "," "," ",100,96,3,1," "," "," "," "," "," "," "," "," "," ",100,99," "
2012,01330000,Holbrook,06,"Students with Disabilities",02,17,14,3," "," "," "," ",17,14,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,06,"Low Income",04,41,39,2," "," "," "," ",41,39,2," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,06,"African American",05,17,17," "," "," "," "," ",17,17," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,06,White,09,73,70,3," "," "," "," ",73,69,3,1," "," "," "," "," "," "," "," "," "," ",100,99," "
2012,01330000,Holbrook,07,"All Students",01,101,98,2," ",1," "," ",101,98,2," ",1," "," "," "," "," "," "," "," "," ",99,99," "
2012,01330000,Holbrook,07,"Low Income",04,45,44," "," ",1," "," ",45,45," "," "," "," "," "," "," "," "," "," "," "," ",98,100," "
2012,01330000,Holbrook,07,"African American",05,16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01330000,Holbrook,07,White,09,73,70,2," ",1," "," ",73,70,2," ",1," "," "," "," "," "," "," "," "," ",99,99," "
2012,01330000,Holbrook,08,"All Students",01,130,127,2,1," "," "," ",130,128,2," "," "," "," ",130,126,2,1,1," "," ",99,100,98
2012,01330000,Holbrook,08,"Students with Disabilities",02,20,17,2,1," "," "," ",20,18,2," "," "," "," ",20,18,2," "," "," "," ",95,100,100
2012,01330000,Holbrook,08,"Low Income",04,55,54," ",1," "," "," ",55,55," "," "," "," "," ",55,53," ",1,1," "," ",98,100,96
2012,01330000,Holbrook,08,"African American",05,14,14," "," "," "," "," ",14,14," "," "," "," "," ",14,14," "," "," "," "," ",100,100,100
2012,01330000,Holbrook,08,Hispanic/Latino,07,10,9,1," "," "," "," ",10,9,1," "," "," "," ",10,9,1," "," "," "," ",100,100,100
2012,01330000,Holbrook,08,White,09,97,95,1,1," "," "," ",97,96,1," "," "," "," ",97,94,1,1,1," "," ",99,100,98
2012,01330000,Holbrook,10,"All Students",01,73,69,2,1,1," "," ",75,70,2,1,1,1," ",75,56,1," "," "," ",18,97,97,100
2012,01330000,Holbrook,10,"Students with Disabilities",02,12,10,2," "," "," "," ",12,10,2," "," "," "," ",12,10,1," "," "," ",1,100,100,100
2012,01330000,Holbrook,10,"Low Income",04,32,30," ",1,1," "," ",33,31," ",1," ",1," ",32,24," "," "," "," ",8,94,97,100
2012,01330000,Holbrook,10,White,09,58,55,2,1," "," "," ",59,55,2,1,1," "," ",59,47,1," "," "," ",11,98,97,100
2012,01350000,Holland,03,"All Students",01,32,32," "," "," "," "," ",33,33," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01350000,Holland,03,"Low Income",04,14,14," "," "," "," "," ",15,15," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01350000,Holland,03,White,09,30,30," "," "," "," "," ",31,31," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01350000,Holland,04,"All Students",01,35,35," "," "," "," "," ",35,35," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01350000,Holland,04,"Low Income",04,12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01350000,Holland,04,White,09,31,31," "," "," "," "," ",31,31," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01350000,Holland,05,"All Students",01,26,25,1," "," "," "," ",26,25,1," "," "," "," ",26,25,1," "," "," "," ",100,100,100
2012,01350000,Holland,05,"Low Income",04,11,11," "," "," "," "," ",11,11," "," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2012,01350000,Holland,05,White,09,23,22,1," "," "," "," ",23,22,1," "," "," "," ",23,22,1," "," "," "," ",100,100,100
2012,01350000,Holland,06,"All Students",01,32,32," "," "," "," "," ",32,32," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01350000,Holland,06,"Low Income",04,11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01350000,Holland,06,White,09,28,28," "," "," "," "," ",28,28," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01360000,Holliston,03,"All Students",01,214,208,6," "," "," "," ",214,208,6," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01360000,Holliston,03,"Students with Disabilities",02,34,28,6," "," "," "," ",34,28,6," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01360000,Holliston,03,"Low Income",04,12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2012,01360000,Holliston,03,Asian,06,10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
